T=2.26900e+00  B=0.00000e+00  Ns=40000  E_exact=-1.41511e+00  M_exact=3.76889e-01
     E           M        
--------------------------
-1.45940e+00  5.63250e-01
-1.43900e+00  5.69500e-01
-1.43630e+00  5.62700e-01
-1.43200e+00  5.37450e-01
-1.41930e+00  5.24850e-01
-1.42400e+00  4.97300e-01
-1.42050e+00  4.93600e-01
-1.42270e+00  4.94400e-01
-1.40700e+00  4.61100e-01
-1.42470e+00  4.69250e-01
-1.44000e+00  4.67450e-01
-1.44050e+00  4.87250e-01
-1.43930e+00  4.66150e-01
-1.41170e+00  4.31950e-01
-1.41160e+00  4.36550e-01
-1.42200e+00  4.43550e-01
-1.42140e+00  4.52350e-01
-1.40330e+00  4.48250e-01
-1.40230e+00  4.91850e-01
-1.41320e+00  4.95400e-01
-1.42530e+00  4.76850e-01
-1.43710e+00  4.96750e-01
-1.41760e+00  5.08350e-01
-1.42700e+00  5.15100e-01
-1.41240e+00  5.01450e-01
-1.43020e+00  5.33850e-01
-1.43160e+00  5.58150e-01
-1.43760e+00  5.58000e-01
-1.42780e+00  5.48600e-01
-1.42290e+00  5.49800e-01
-1.43200e+00  5.62450e-01
-1.44270e+00  5.66300e-01
-1.40650e+00  5.70000e-01
-1.41790e+00  6.02600e-01
-1.44030e+00  6.13950e-01
-1.41600e+00  5.87550e-01
-1.42970e+00  5.73050e-01
-1.43500e+00  5.85300e-01
-1.41740e+00  6.12850e-01
-1.43780e+00  6.18850e-01
-1.44190e+00  6.36250e-01
-1.38340e+00  5.87600e-01
-1.42920e+00  6.09550e-01
-1.42060e+00  5.96800e-01
-1.40820e+00  5.95900e-01
-1.40800e+00  5.94100e-01
-1.42220e+00  5.92800e-01
-1.42040e+00  5.94600e-01
-1.43540e+00  6.19800e-01
-1.41330e+00  5.94300e-01
-1.40860e+00  5.94600e-01
-1.40950e+00  5.76650e-01
-1.39700e+00  5.76950e-01
-1.42060e+00  5.66550e-01
-1.42060e+00  5.90700e-01
-1.43120e+00  5.76400e-01
-1.41040e+00  5.95700e-01
-1.41720e+00  6.08950e-01
-1.40780e+00  5.92700e-01
-1.41130e+00  5.91900e-01
-1.40090e+00  5.84650e-01
-1.41320e+00  5.69900e-01
-1.41470e+00  5.60350e-01
-1.41000e+00  5.63150e-01
-1.40430e+00  5.55000e-01
-1.42080e+00  5.76650e-01
-1.40320e+00  5.63250e-01
-1.41090e+00  5.75050e-01
-1.39130e+00  5.52000e-01
-1.39620e+00  5.58850e-01
-1.40660e+00  5.57650e-01
-1.40720e+00  5.84300e-01
-1.41310e+00  5.88750e-01
-1.40560e+00  5.81800e-01
-1.43250e+00  5.97750e-01
-1.39610e+00  5.61200e-01
-1.39670e+00  5.63950e-01
-1.41940e+00  5.92200e-01
-1.42740e+00  5.95900e-01
-1.41740e+00  5.90150e-01
-1.40780e+00  5.93050e-01
-1.42240e+00  6.11700e-01
-1.42100e+00  6.26750e-01
-1.41220e+00  6.03100e-01
-1.42380e+00  6.16900e-01
-1.43560e+00  6.39050e-01
-1.44010e+00  6.32900e-01
-1.40670e+00  5.99700e-01
-1.43930e+00  6.17300e-01
-1.43570e+00  6.14800e-01
-1.43880e+00  6.26550e-01
-1.42940e+00  6.07600e-01
-1.41120e+00  5.72600e-01
-1.43070e+00  6.06400e-01
-1.42660e+00  5.91600e-01
-1.39250e+00  5.50000e-01
-1.40270e+00  5.56600e-01
-1.42020e+00  5.83850e-01
-1.40860e+00  5.93250e-01
-1.42020e+00  6.17700e-01
-1.42880e+00  5.93500e-01
-1.43880e+00  5.90400e-01
-1.42800e+00  5.96250e-01
-1.43820e+00  5.91700e-01
-1.41930e+00  5.89100e-01
-1.43700e+00  6.11400e-01
-1.42780e+00  6.00050e-01
-1.43500e+00  5.93050e-01
-1.43740e+00  6.21450e-01
-1.43560e+00  6.20150e-01
-1.46710e+00  6.50100e-01
-1.45040e+00  6.54150e-01
-1.44110e+00  6.46300e-01
-1.43160e+00  6.25850e-01
-1.44180e+00  6.18900e-01
-1.43110e+00  6.06500e-01
-1.41740e+00  5.65150e-01
-1.43090e+00  5.63800e-01
-1.42090e+00  5.80700e-01
-1.40510e+00  5.72550e-01
-1.39500e+00  5.75050e-01
-1.41350e+00  6.03450e-01
-1.41420e+00  6.02750e-01
-1.40490e+00  5.97050e-01
-1.43670e+00  6.21800e-01
-1.42690e+00  6.27100e-01
-1.42460e+00  6.47550e-01
-1.41740e+00  6.20050e-01
-1.40080e+00  5.90200e-01
-1.40980e+00  5.94050e-01
-1.39050e+00  5.99700e-01
-1.43360e+00  6.16600e-01
-1.42190e+00  6.07550e-01
-1.40260e+00  6.10000e-01
-1.42180e+00  6.05600e-01
-1.40350e+00  6.16650e-01
-1.44490e+00  6.52800e-01
-1.41990e+00  6.42900e-01
-1.43810e+00  6.57500e-01
-1.43760e+00  6.45950e-01
-1.40630e+00  6.06400e-01
-1.40250e+00  6.20700e-01
-1.44770e+00  6.51450e-01
-1.40750e+00  6.27950e-01
-1.44040e+00  6.45000e-01
-1.43840e+00  6.50150e-01
-1.43350e+00  6.43750e-01
-1.42360e+00  6.28900e-01
-1.44350e+00  6.23000e-01
-1.42090e+00  5.98750e-01
-1.41080e+00  6.04950e-01
-1.43810e+00  5.95100e-01
-1.43010e+00  6.15550e-01
-1.42630e+00  5.94750e-01
-1.40570e+00  5.94150e-01
-1.43740e+00  6.13150e-01
-1.43690e+00  6.21450e-01
-1.42960e+00  6.23700e-01
-1.42750e+00  6.15750e-01
-1.40800e+00  6.01600e-01
-1.45130e+00  5.99450e-01
-1.42080e+00  5.95200e-01
-1.42850e+00  6.11300e-01
-1.41300e+00  6.16350e-01
-1.41800e+00  6.15450e-01
-1.39960e+00  6.08400e-01
-1.41620e+00  6.42450e-01
-1.43840e+00  6.58350e-01
-1.42600e+00  6.58400e-01
-1.44300e+00  6.51700e-01
-1.44800e+00  6.23550e-01
-1.40330e+00  5.80850e-01
-1.40970e+00  5.99850e-01
-1.39650e+00  5.89700e-01
-1.41780e+00  5.99850e-01
-1.42400e+00  6.38050e-01
-1.43400e+00  6.67350e-01
-1.44330e+00  6.71050e-01
-1.43500e+00  6.47100e-01
-1.40700e+00  6.21200e-01
-1.43410e+00  6.40500e-01
-1.44240e+00  6.63300e-01
-1.41110e+00  6.56650e-01
-1.42560e+00  6.51450e-01
-1.43980e+00  6.50350e-01
-1.45530e+00  6.89600e-01
-1.42070e+00  6.67250e-01
-1.43160e+00  6.55650e-01
-1.41980e+00  6.63500e-01
-1.43780e+00  6.92600e-01
-1.45340e+00  6.90500e-01
-1.42640e+00  6.54050e-01
-1.45630e+00  6.93650e-01
-1.46330e+00  7.15250e-01
-1.46290e+00  7.14800e-01
-1.45350e+00  6.96750e-01
-1.43880e+00  6.65800e-01
-1.45850e+00  6.86750e-01
-1.43910e+00  6.81050e-01
-1.44670e+00  6.60850e-01
-1.42560e+00  6.29300e-01
-1.42230e+00  6.31950e-01
-1.45290e+00  6.59400e-01
-1.46060e+00  6.71050e-01
-1.41420e+00  6.47450e-01
-1.40790e+00  6.21050e-01
-1.42660e+00  6.39050e-01
-1.41970e+00  6.25500e-01
-1.40250e+00  6.00100e-01
-1.40810e+00  5.92850e-01
-1.41180e+00  5.80350e-01
-1.42610e+00  5.64000e-01
-1.42820e+00  5.79000e-01
-1.41160e+00  5.74650e-01
-1.41350e+00  5.87450e-01
-1.43080e+00  6.21350e-01
-1.40480e+00  5.78550e-01
-1.42520e+00  5.91850e-01
-1.42060e+00  5.90700e-01
-1.44530e+00  6.45200e-01
-1.43820e+00  6.43900e-01
-1.43050e+00  6.63700e-01
-1.42700e+00  6.72650e-01
-1.45770e+00  6.93100e-01
-1.43370e+00  6.70300e-01
-1.44350e+00  6.73350e-01
-1.43420e+00  6.56850e-01
-1.42970e+00  6.42450e-01
-1.47330e+00  6.63050e-01
-1.42170e+00  6.25700e-01
-1.42270e+00  6.16850e-01
-1.41870e+00  6.18950e-01
-1.41790e+00  6.08400e-01
-1.43730e+00  6.09350e-01
-1.44360e+00  6.17000e-01
-1.43820e+00  6.23900e-01
-1.42150e+00  6.20350e-01
-1.43380e+00  6.10150e-01
-1.44280e+00  6.34700e-01
-1.40240e+00  5.99250e-01
-1.41210e+00  6.21050e-01
-1.43080e+00  6.43850e-01
-1.43120e+00  6.36150e-01
-1.43030e+00  6.49450e-01
-1.43850e+00  6.71500e-01
-1.44550e+00  6.74550e-01
-1.43520e+00  6.80950e-01
-1.42590e+00  6.54000e-01
-1.40480e+00  6.30300e-01
-1.44630e+00  6.55200e-01
-1.44540e+00  6.60750e-01
-1.44740e+00  6.62050e-01
-1.42600e+00  6.31050e-01
-1.43720e+00  6.48050e-01
-1.42220e+00  6.47200e-01
-1.40880e+00  6.40950e-01
-1.43470e+00  6.52600e-01
-1.44030e+00  6.56450e-01
-1.42640e+00  6.60850e-01
-1.43830e+00  6.66950e-01
-1.44290e+00  6.79100e-01
-1.44930e+00  7.06850e-01
-1.45560e+00  6.89350e-01
-1.45180e+00  6.76350e-01
-1.44380e+00  6.74750e-01
-1.42760e+00  6.43550e-01
-1.46150e+00  6.71850e-01
-1.44840e+00  6.71950e-01
-1.43110e+00  6.82400e-01
-1.45670e+00  6.88600e-01
-1.45250e+00  6.84600e-01
-1.44100e+00  6.98050e-01
-1.45090e+00  6.97300e-01
-1.45810e+00  7.07000e-01
-1.45950e+00  7.11200e-01
-1.44580e+00  6.87900e-01
-1.45030e+00  6.99400e-01
-1.42970e+00  6.81200e-01
-1.44290e+00  6.59950e-01
-1.45040e+00  6.76550e-01
-1.41500e+00  6.41200e-01
-1.42720e+00  6.42100e-01
-1.44200e+00  6.63300e-01
-1.41390e+00  6.36900e-01
-1.47480e+00  6.83700e-01
-1.44170e+00  6.65500e-01
-1.44710e+00  6.71300e-01
-1.44080e+00  6.66750e-01
-1.43870e+00  6.69650e-01
-1.43190e+00  6.75550e-01
-1.43210e+00  6.84250e-01
-1.42870e+00  6.80000e-01
-1.44040e+00  6.97500e-01
-1.44660e+00  6.88050e-01
-1.44440e+00  6.81550e-01
-1.43660e+00  6.81050e-01
-1.44160e+00  6.83750e-01
-1.44930e+00  6.82600e-01
-1.44150e+00  6.70400e-01
-1.44260e+00  6.33050e-01
-1.43240e+00  6.61050e-01
-1.43490e+00  6.58250e-01
-1.42050e+00  6.56900e-01
-1.44630e+00  6.75250e-01
-1.46380e+00  6.95750e-01
-1.42820e+00  6.33350e-01
-1.41570e+00  6.10600e-01
-1.43630e+00  6.09750e-01
-1.43230e+00  6.20250e-01
-1.42170e+00  6.02200e-01
-1.43800e+00  6.22700e-01
-1.43020e+00  5.86900e-01
-1.41180e+00  5.89950e-01
-1.42490e+00  5.95800e-01
-1.41650e+00  5.78450e-01
-1.42220e+00  5.86700e-01
-1.40400e+00  5.47700e-01
-1.41870e+00  5.76600e-01
-1.42450e+00  5.82850e-01
-1.39590e+00  5.74350e-01
-1.42140e+00  5.86300e-01
-1.40870e+00  5.89700e-01
-1.39690e+00  5.77100e-01
-1.40270e+00  5.84450e-01
-1.41560e+00  5.83700e-01
-1.44330e+00  6.11900e-01
-1.41120e+00  5.88200e-01
-1.43530e+00  6.07000e-01
-1.42230e+00  6.11600e-01
-1.43210e+00  6.22800e-01
-1.45740e+00  6.54650e-01
-1.45350e+00  6.37050e-01
-1.41140e+00  5.97650e-01
-1.41820e+00  5.92000e-01
-1.43450e+00  5.92400e-01
-1.43560e+00  6.16850e-01
-1.41310e+00  5.98400e-01
-1.42900e+00  5.87700e-01
-1.42140e+00  5.80050e-01
-1.41840e+00  5.85100e-01
-1.41030e+00  5.81350e-01
-1.41240e+00  5.78050e-01
-1.39980e+00  5.82350e-01
-1.42160e+00  5.95850e-01
-1.39170e+00  5.80400e-01
-1.39760e+00  5.75750e-01
-1.40360e+00  5.91750e-01
-1.42090e+00  6.28700e-01
-1.42860e+00  6.28000e-01
-1.43600e+00  6.42500e-01
-1.40670e+00  6.11050e-01
-1.44120e+00  6.42250e-01
-1.43330e+00  6.57800e-01
-1.43290e+00  6.56000e-01
-1.40610e+00  6.45250e-01
-1.41930e+00  6.37150e-01
-1.43100e+00  6.61350e-01
-1.45860e+00  6.71550e-01
-1.43110e+00  6.57150e-01
-1.44640e+00  6.69700e-01
-1.42640e+00  6.47900e-01
-1.44320e+00  6.71700e-01
-1.44270e+00  6.72050e-01
-1.40610e+00  6.38950e-01
-1.43120e+00  6.31050e-01
-1.41820e+00  6.22600e-01
-1.42140e+00  6.24450e-01
-1.43440e+00  6.20400e-01
-1.44880e+00  6.48900e-01
-1.43040e+00  6.43500e-01
-1.42230e+00  6.36750e-01
-1.42810e+00  6.82250e-01
-1.46240e+00  6.85200e-01
-1.46300e+00  6.86350e-01
-1.45930e+00  6.76800e-01
-1.42140e+00  6.40900e-01
-1.45370e+00  6.75700e-01
-1.42330e+00  6.57400e-01
-1.43450e+00  6.52800e-01
-1.41370e+00  6.12700e-01
-1.41970e+00  5.95950e-01
-1.42800e+00  5.99700e-01
-1.43730e+00  6.20750e-01
-1.41630e+00  6.25700e-01
-1.43150e+00  6.30300e-01
-1.41480e+00  6.09600e-01
-1.43350e+00  6.07350e-01
-1.43320e+00  5.92650e-01
-1.41510e+00  5.64900e-01
-1.42160e+00  5.76150e-01
-1.41920e+00  5.84700e-01
-1.43270e+00  6.18150e-01
-1.41770e+00  6.02950e-01
-1.41720e+00  5.84100e-01
-1.41260e+00  6.07550e-01
-1.42010e+00  6.01950e-01
-1.40090e+00  5.75950e-01
-1.40820e+00  5.97600e-01
-1.42370e+00  6.11500e-01
-1.42550e+00  6.11600e-01
-1.43790e+00  6.07950e-01
-1.46340e+00  6.22550e-01
-1.43570e+00  6.20950e-01
-1.42600e+00  6.20650e-01
-1.42300e+00  6.07750e-01
-1.43250e+00  6.09200e-01
-1.42910e+00  6.18650e-01
-1.42300e+00  6.10750e-01
-1.42590e+00  6.12100e-01
-1.43680e+00  6.16200e-01
-1.42210e+00  5.83800e-01
-1.42290e+00  5.83050e-01
-1.41560e+00  5.72950e-01
-1.41680e+00  5.74300e-01
-1.40710e+00  5.72200e-01
-1.40480e+00  5.56850e-01
-1.41480e+00  5.46650e-01
-1.41210e+00  5.41750e-01
-1.40130e+00  5.08400e-01
-1.39940e+00  5.61350e-01
-1.40720e+00  5.70150e-01
-1.43120e+00  6.09750e-01
-1.41660e+00  6.06850e-01
-1.43750e+00  6.16450e-01
-1.45230e+00  6.44350e-01
-1.42810e+00  6.13750e-01
-1.43090e+00  6.08800e-01
-1.46300e+00  6.31800e-01
-1.43640e+00  6.32650e-01
-1.44850e+00  6.36200e-01
-1.44450e+00  6.44150e-01
-1.44390e+00  6.52850e-01
-1.45010e+00  6.75150e-01
-1.43920e+00  6.61300e-01
-1.43910e+00  6.39250e-01
-1.40460e+00  6.08550e-01
-1.44320e+00  6.56050e-01
-1.43730e+00  6.58850e-01
-1.44520e+00  6.72250e-01
-1.45800e+00  6.88600e-01
-1.44670e+00  6.78300e-01
-1.44670e+00  6.80650e-01
-1.44450e+00  6.90950e-01
-1.45530e+00  6.88350e-01
-1.44470e+00  6.91200e-01
-1.43400e+00  6.62650e-01
-1.45180e+00  6.68350e-01
-1.42810e+00  6.48550e-01
-1.42210e+00  6.47950e-01
-1.41910e+00  6.25700e-01
-1.39520e+00  6.20700e-01
-1.43880e+00  6.40150e-01
-1.41180e+00  6.02350e-01
-1.40960e+00  6.12900e-01
-1.39350e+00  6.09550e-01
-1.41420e+00  6.31950e-01
-1.43440e+00  6.34550e-01
-1.42080e+00  6.11200e-01
-1.42840e+00  6.60350e-01
-1.43760e+00  6.58450e-01
-1.43400e+00  6.63000e-01
-1.43290e+00  6.57700e-01
-1.43400e+00  6.37100e-01
-1.40980e+00  6.29850e-01
-1.42980e+00  6.32900e-01
-1.40860e+00  5.84300e-01
-1.40790e+00  5.78250e-01
-1.42470e+00  5.73250e-01
-1.42030e+00  5.38500e-01
-1.39460e+00  5.34300e-01
-1.38990e+00  5.21500e-01
-1.41690e+00  5.60350e-01
-1.42730e+00  5.85650e-01
-1.42890e+00  5.89900e-01
-1.40670e+00  5.73250e-01
-1.42010e+00  6.13150e-01
-1.42830e+00  6.25300e-01
-1.44110e+00  6.48150e-01
-1.42950e+00  6.64600e-01
-1.44270e+00  6.53000e-01
-1.45450e+00  6.58650e-01
-1.44230e+00  6.34500e-01
-1.40510e+00  6.18400e-01
-1.42880e+00  6.29900e-01
-1.42540e+00  6.23850e-01
-1.39870e+00  6.20550e-01
-1.41130e+00  5.99850e-01
-1.42180e+00  5.79200e-01
-1.43620e+00  5.82550e-01
-1.42910e+00  6.20250e-01
-1.42260e+00  6.16600e-01
-1.43570e+00  6.21850e-01
-1.44750e+00  6.25700e-01
-1.43030e+00  6.39250e-01
-1.42450e+00  6.27550e-01
-1.42600e+00  6.28800e-01
-1.41220e+00  6.21900e-01
-1.42890e+00  6.27750e-01
-1.41330e+00  6.04300e-01
-1.41030e+00  6.05500e-01
-1.39380e+00  5.81250e-01
-1.40400e+00  5.68700e-01
-1.41870e+00  6.01150e-01
-1.42090e+00  5.80900e-01
-1.41970e+00  5.87100e-01
-1.42710e+00  6.22500e-01
-1.42200e+00  6.03850e-01
-1.41720e+00  5.73850e-01
-1.44540e+00  5.94150e-01
-1.40780e+00  6.00600e-01
-1.41830e+00  6.05450e-01
-1.43130e+00  6.31100e-01
-1.44320e+00  6.59200e-01
-1.43100e+00  6.52800e-01
-1.45720e+00  6.89600e-01
-1.46750e+00  6.73850e-01
-1.43300e+00  6.53900e-01
-1.41990e+00  6.47000e-01
-1.42580e+00  6.48900e-01
-1.43030e+00  6.61400e-01
-1.42600e+00  6.46650e-01
-1.41650e+00  6.30750e-01
-1.44770e+00  6.85350e-01
-1.44440e+00  6.80250e-01
-1.42280e+00  6.61200e-01
-1.42830e+00  6.70250e-01
-1.45350e+00  6.87200e-01
-1.43090e+00  6.51700e-01
-1.42220e+00  6.40800e-01
-1.43520e+00  6.55000e-01
-1.44740e+00  6.76500e-01
-1.45400e+00  6.73750e-01
-1.43760e+00  6.50050e-01
-1.43190e+00  6.47100e-01
-1.41630e+00  6.27800e-01
-1.44140e+00  6.51400e-01
-1.44690e+00  6.69800e-01
-1.43760e+00  6.49450e-01
-1.44290e+00  6.56250e-01
-1.44580e+00  6.82650e-01
-1.42930e+00  6.35750e-01
-1.42470e+00  6.26200e-01
-1.41490e+00  6.40650e-01
-1.42120e+00  6.38000e-01
-1.43530e+00  6.36250e-01
-1.41920e+00  6.03900e-01
-1.40970e+00  5.97750e-01
-1.43230e+00  6.06600e-01
-1.41570e+00  6.16250e-01
-1.44400e+00  6.62200e-01
