T=2.26900e+00  B=0.00000e+00  ns=262144  E_exact=-1.41511e+00  M_exact=3.76889e-01
     E           M        
-1.41168e+00  -4.20380e-02
-1.39769e+00  -4.61578e-02
-1.39241e+00  -4.41208e-02
-1.39597e+00  -3.18451e-02
-1.38898e+00  -4.08630e-02
-1.40150e+00  -4.57077e-02
-1.38853e+00  -4.05350e-02
-1.39037e+00  -3.50723e-02
-1.40579e+00  -3.33481e-02
-1.39088e+00  -2.71301e-02
-1.39548e+00  -3.28140e-02
-1.39223e+00  -4.41742e-02
-1.39632e+00  -3.19824e-02
-1.39682e+00  -3.88794e-02
-1.40218e+00  -3.94592e-02
-1.40088e+00  -3.94363e-02
-1.40689e+00  -4.15115e-02
-1.39578e+00  -4.82483e-02
-1.39738e+00  -4.83093e-02
-1.39478e+00  -5.80139e-02
-1.39194e+00  -5.76935e-02
-1.39554e+00  -6.77567e-02
-1.39331e+00  -6.56815e-02
-1.41287e+00  -7.41577e-02
-1.39847e+00  -7.71103e-02
-1.40691e+00  -7.96967e-02
-1.40204e+00  -8.75244e-02
-1.40186e+00  -8.34198e-02
-1.40242e+00  -7.17773e-02
-1.40761e+00  -7.35397e-02
-1.39932e+00  -7.48367e-02
-1.40726e+00  -7.85446e-02
-1.40408e+00  -6.91223e-02
-1.40044e+00  -6.74744e-02
-1.40704e+00  -7.08084e-02
-1.40817e+00  -6.42014e-02
-1.40465e+00  -6.90765e-02
-1.41168e+00  -7.16553e-02
-1.39488e+00  -6.42395e-02
-1.40900e+00  -6.21490e-02
-1.40692e+00  -6.35834e-02
-1.40775e+00  -8.07343e-02
-1.40999e+00  -7.00455e-02
-1.41043e+00  -6.89468e-02
-1.40579e+00  -7.71790e-02
-1.40723e+00  -7.36771e-02
-1.41220e+00  -8.07648e-02
-1.39514e+00  -7.31430e-02
-1.39500e+00  -7.30515e-02
-1.40446e+00  -8.36029e-02
-1.39879e+00  -8.70056e-02
-1.39948e+00  -9.19342e-02
-1.40797e+00  -8.97675e-02
-1.40948e+00  -9.37576e-02
-1.40300e+00  -9.01184e-02
-1.40756e+00  -7.71027e-02
-1.39874e+00  -8.98972e-02
-1.40134e+00  -8.63800e-02
-1.39355e+00  -8.19016e-02
-1.40239e+00  -6.70471e-02
-1.40782e+00  -7.64084e-02
-1.40875e+00  -8.50906e-02
-1.40239e+00  -9.04694e-02
-1.41109e+00  -9.81903e-02
-1.40715e+00  -1.02371e-01
-1.40649e+00  -8.69446e-02
-1.41168e+00  -8.72116e-02
-1.40230e+00  -9.27658e-02
-1.41136e+00  -9.00345e-02
-1.40315e+00  -9.29337e-02
-1.40189e+00  -8.78067e-02
-1.40800e+00  -9.39255e-02
-1.40857e+00  -9.31625e-02
-1.40071e+00  -1.03485e-01
-1.40656e+00  -9.13010e-02
-1.41554e+00  -8.34198e-02
-1.41089e+00  -7.58667e-02
-1.41168e+00  -7.66220e-02
-1.40875e+00  -8.43506e-02
-1.40779e+00  -8.86078e-02
-1.40855e+00  -8.08258e-02
-1.41444e+00  -8.17337e-02
-1.41527e+00  -7.82318e-02
-1.41199e+00  -9.07974e-02
-1.42085e+00  -9.65729e-02
-1.39828e+00  -9.47113e-02
-1.40689e+00  -1.04836e-01
-1.40582e+00  -1.19217e-01
-1.40773e+00  -1.20575e-01
-1.40294e+00  -1.13922e-01
-1.40471e+00  -1.20789e-01
-1.42039e+00  -1.26801e-01
-1.40833e+00  -1.22162e-01
-1.41534e+00  -1.15234e-01
-1.40669e+00  -1.09367e-01
-1.40979e+00  -1.11710e-01
-1.41602e+00  -1.09077e-01
-1.41411e+00  -1.07361e-01
-1.41542e+00  -1.09360e-01
-1.41377e+00  -9.84039e-02
-1.40692e+00  -1.03706e-01
-1.41341e+00  -1.03760e-01
-1.40994e+00  -1.05064e-01
-1.41727e+00  -1.09604e-01
-1.40938e+00  -1.01730e-01
-1.41805e+00  -1.02196e-01
-1.40955e+00  -9.52988e-02
-1.40424e+00  -9.57489e-02
-1.39915e+00  -8.32825e-02
-1.40286e+00  -8.58231e-02
-1.38809e+00  -7.09915e-02
-1.39572e+00  -7.24716e-02
-1.40594e+00  -6.78940e-02
-1.40712e+00  -5.56183e-02
-1.40526e+00  -5.93567e-02
-1.41154e+00  -6.44989e-02
-1.41991e+00  -7.48138e-02
-1.41805e+00  -7.91779e-02
-1.40932e+00  -6.31790e-02
-1.41260e+00  -7.00760e-02
-1.40802e+00  -7.19986e-02
-1.40387e+00  -7.32117e-02
-1.40790e+00  -6.62079e-02
-1.40919e+00  -5.41077e-02
-1.40993e+00  -5.47714e-02
-1.41713e+00  -5.50385e-02
-1.41054e+00  -3.18146e-02
-1.40504e+00  -2.76337e-02
-1.40724e+00  -4.03366e-02
-1.41428e+00  -4.06952e-02
-1.41331e+00  -3.56445e-02
-1.40916e+00  -4.56161e-02
-1.41350e+00  -3.74832e-02
-1.40944e+00  -3.75519e-02
-1.40794e+00  -2.93732e-02
-1.40558e+00  -4.28391e-02
-1.40834e+00  -5.25131e-02
-1.41029e+00  -4.65317e-02
-1.41248e+00  -5.71747e-02
-1.41557e+00  -5.02777e-02
-1.40681e+00  -4.82025e-02
-1.39987e+00  -6.36215e-02
-1.41284e+00  -6.94504e-02
-1.40825e+00  -8.29468e-02
-1.41742e+00  -8.70590e-02
-1.41751e+00  -8.52051e-02
-1.41344e+00  -8.42133e-02
-1.41269e+00  -7.35779e-02
-1.41278e+00  -5.36880e-02
-1.41101e+00  -5.61981e-02
-1.40501e+00  -4.55780e-02
-1.41885e+00  -5.10635e-02
-1.41307e+00  -5.13458e-02
-1.41695e+00  -5.59387e-02
-1.40936e+00  -5.39932e-02
-1.41371e+00  -5.25818e-02
-1.40309e+00  -5.84793e-02
-1.42038e+00  -6.45905e-02
-1.41463e+00  -5.70374e-02
-1.41045e+00  -5.03616e-02
-1.40640e+00  -4.93088e-02
-1.41084e+00  -5.29785e-02
-1.40929e+00  -4.77982e-02
-1.41353e+00  -5.31845e-02
-1.40929e+00  -4.90952e-02
-1.41171e+00  -5.67169e-02
-1.41502e+00  -6.48270e-02
-1.40536e+00  -6.29730e-02
-1.41002e+00  -6.63452e-02
-1.40619e+00  -6.07300e-02
-1.40787e+00  -7.27539e-02
-1.41560e+00  -6.60782e-02
-1.41969e+00  -7.42722e-02
-1.41731e+00  -7.53098e-02
-1.41229e+00  -6.52618e-02
-1.41400e+00  -6.44608e-02
-1.40990e+00  -6.91986e-02
-1.40604e+00  -5.94711e-02
-1.39912e+00  -6.18820e-02
-1.40021e+00  -6.43997e-02
-1.41255e+00  -7.15485e-02
-1.41206e+00  -7.16248e-02
-1.41142e+00  -7.49359e-02
-1.41028e+00  -6.94809e-02
-1.40552e+00  -8.76160e-02
-1.40332e+00  -6.68869e-02
-1.41176e+00  -7.98798e-02
-1.40273e+00  -7.53708e-02
-1.40802e+00  -8.14285e-02
-1.39464e+00  -7.47757e-02
-1.40878e+00  -8.44498e-02
-1.40849e+00  -8.26797e-02
-1.39827e+00  -9.18579e-02
-1.40472e+00  -8.33817e-02
-1.40900e+00  -8.24356e-02
-1.40950e+00  -8.29544e-02
