T=2.20000e+00  B=0.00000e+00  Ns=40000  E_exact=-1.54649e+00  M_exact=7.84755e-01
     E           M        
-1.56160e+00  -7.96400e-01
-1.54890e+00  -7.82250e-01
-1.54870e+00  -7.95200e-01
-1.55130e+00  -8.00750e-01
-1.55740e+00  -8.05800e-01
-1.52640e+00  -7.78850e-01
-1.53760e+00  -7.77150e-01
-1.55090e+00  -7.90200e-01
-1.53610e+00  -7.87400e-01
-1.54490e+00  -7.93850e-01
-1.55150e+00  -7.91350e-01
-1.57960e+00  -8.24150e-01
-1.52970e+00  -7.84500e-01
-1.53930e+00  -7.90800e-01
-1.53920e+00  -7.97300e-01
-1.55090e+00  -8.04800e-01
-1.55110e+00  -7.91350e-01
-1.54410e+00  -7.78800e-01
-1.56700e+00  -7.90400e-01
-1.56770e+00  -8.06200e-01
-1.56290e+00  -8.12700e-01
-1.57550e+00  -8.15900e-01
-1.54470e+00  -8.03750e-01
-1.56660e+00  -8.00700e-01
-1.53950e+00  -7.88050e-01
-1.57140e+00  -8.08250e-01
-1.55230e+00  -7.81350e-01
-1.54100e+00  -7.80850e-01
-1.56140e+00  -7.89750e-01
-1.55870e+00  -7.94600e-01
-1.52780e+00  -7.68700e-01
-1.53810e+00  -7.89800e-01
-1.56160e+00  -8.04350e-01
-1.53650e+00  -7.72250e-01
-1.54800e+00  -7.95350e-01
-1.55400e+00  -7.97350e-01
-1.55810e+00  -8.00650e-01
-1.55190e+00  -7.90500e-01
-1.53300e+00  -7.86650e-01
-1.54080e+00  -7.82600e-01
-1.55140e+00  -7.98200e-01
-1.57320e+00  -8.11850e-01
-1.54870e+00  -7.99750e-01
-1.55920e+00  -7.97750e-01
-1.55330e+00  -7.85800e-01
-1.54870e+00  -7.76300e-01
-1.55860e+00  -7.85350e-01
-1.54840e+00  -7.92750e-01
-1.54270e+00  -7.97000e-01
-1.56260e+00  -8.06450e-01
-1.53860e+00  -7.95800e-01
-1.56980e+00  -8.11950e-01
-1.54440e+00  -7.92700e-01
-1.55730e+00  -8.07800e-01
-1.58020e+00  -8.12650e-01
-1.55510e+00  -8.00650e-01
-1.54670e+00  -7.83300e-01
-1.53910e+00  -7.79900e-01
-1.54580e+00  -7.83000e-01
-1.55060e+00  -7.95050e-01
-1.56760e+00  -7.93600e-01
-1.57100e+00  -7.98200e-01
-1.52580e+00  -7.73100e-01
-1.55060e+00  -7.83300e-01
-1.56420e+00  -8.05800e-01
-1.55880e+00  -8.08300e-01
-1.53980e+00  -7.91050e-01
-1.55130e+00  -7.97700e-01
-1.53680e+00  -7.71300e-01
-1.55110e+00  -7.80700e-01
-1.53930e+00  -7.81550e-01
-1.55290e+00  -7.90700e-01
-1.53630e+00  -7.84050e-01
-1.53520e+00  -7.86650e-01
-1.54110e+00  -7.95450e-01
-1.56890e+00  -8.12500e-01
-1.58010e+00  -8.12550e-01
-1.56000e+00  -7.95450e-01
-1.55320e+00  -8.00200e-01
-1.55150e+00  -8.04650e-01
-1.54750e+00  -7.81650e-01
-1.52020e+00  -7.69850e-01
-1.56030e+00  -7.87900e-01
-1.54550e+00  -7.85800e-01
-1.55450e+00  -7.95000e-01
-1.56270e+00  -8.09650e-01
-1.54980e+00  -7.94550e-01
-1.55300e+00  -8.06900e-01
-1.56330e+00  -8.09350e-01
-1.53630e+00  -7.78300e-01
-1.53690e+00  -7.79950e-01
-1.54350e+00  -7.83650e-01
-1.59340e+00  -8.14750e-01
-1.55420e+00  -7.98350e-01
-1.53730e+00  -7.82750e-01
-1.54310e+00  -7.66100e-01
-1.54130e+00  -7.68000e-01
-1.51990e+00  -7.35550e-01
-1.53590e+00  -7.57950e-01
-1.53790e+00  -7.45950e-01
-1.53200e+00  -7.44650e-01
-1.53500e+00  -7.42950e-01
-1.54210e+00  -7.59900e-01
-1.53400e+00  -7.60050e-01
-1.52690e+00  -7.54050e-01
-1.55040e+00  -7.74600e-01
-1.53530e+00  -7.71950e-01
-1.53320e+00  -7.57400e-01
-1.54720e+00  -7.67800e-01
-1.52380e+00  -7.54500e-01
-1.57020e+00  -7.83150e-01
-1.53100e+00  -7.51600e-01
-1.54410e+00  -7.53100e-01
-1.54170e+00  -7.66150e-01
-1.54470e+00  -7.62100e-01
-1.56140e+00  -7.88950e-01
-1.54430e+00  -7.68300e-01
-1.53850e+00  -7.78000e-01
-1.54910e+00  -7.80900e-01
-1.54910e+00  -7.89100e-01
-1.55500e+00  -7.89850e-01
-1.54940e+00  -7.83050e-01
-1.55480e+00  -8.09250e-01
-1.57470e+00  -8.19550e-01
-1.54590e+00  -7.92250e-01
-1.55440e+00  -7.84700e-01
-1.52940e+00  -7.87400e-01
-1.56140e+00  -8.05450e-01
-1.54540e+00  -8.01700e-01
-1.56270e+00  -8.02350e-01
-1.56550e+00  -8.01150e-01
-1.53610e+00  -7.66000e-01
-1.54360e+00  -7.72050e-01
-1.55950e+00  -8.00300e-01
-1.56030e+00  -7.97150e-01
-1.54630e+00  -7.86500e-01
-1.56430e+00  -8.04500e-01
-1.56060e+00  -7.86050e-01
-1.53690e+00  -7.76200e-01
-1.53320e+00  -7.74100e-01
-1.52190e+00  -7.75000e-01
-1.55480e+00  -8.07500e-01
-1.54380e+00  -7.93000e-01
-1.54830e+00  -7.88350e-01
-1.56250e+00  -7.94350e-01
-1.54090e+00  -7.82200e-01
-1.56010e+00  -7.99800e-01
-1.53510e+00  -7.86100e-01
-1.53960e+00  -7.93600e-01
-1.54500e+00  -7.97150e-01
-1.55020e+00  -7.99150e-01
-1.55730e+00  -8.04050e-01
-1.54470e+00  -7.89800e-01
-1.54970e+00  -7.94750e-01
-1.52850e+00  -7.64700e-01
-1.54730e+00  -7.81550e-01
-1.55140e+00  -7.83600e-01
-1.54860e+00  -7.76200e-01
-1.54230e+00  -7.80050e-01
-1.52770e+00  -7.73800e-01
-1.55190e+00  -7.76950e-01
-1.54470e+00  -7.68500e-01
-1.52860e+00  -7.56450e-01
-1.53360e+00  -7.63450e-01
-1.51440e+00  -7.49150e-01
-1.53410e+00  -7.67000e-01
-1.54230e+00  -7.79650e-01
-1.56080e+00  -7.99500e-01
-1.54160e+00  -7.80850e-01
-1.55510e+00  -7.99400e-01
-1.54280e+00  -7.91900e-01
-1.56160e+00  -8.09850e-01
-1.53890e+00  -7.83800e-01
-1.54630e+00  -7.83600e-01
-1.52980e+00  -7.75400e-01
-1.54500e+00  -7.81050e-01
-1.52440e+00  -7.62600e-01
-1.54530e+00  -7.76600e-01
-1.53970e+00  -7.73800e-01
-1.53580e+00  -7.66650e-01
-1.52060e+00  -7.60500e-01
-1.53710e+00  -7.79150e-01
-1.53090e+00  -7.66050e-01
-1.55570e+00  -7.73750e-01
-1.53320e+00  -7.68850e-01
-1.55350e+00  -7.85700e-01
-1.55880e+00  -7.87600e-01
-1.53930e+00  -7.79200e-01
-1.55990e+00  -7.82300e-01
-1.51560e+00  -7.51300e-01
-1.54280e+00  -7.70400e-01
-1.53440e+00  -7.70300e-01
-1.52720e+00  -7.65950e-01
-1.53500e+00  -7.73000e-01
-1.54730e+00  -7.84650e-01
-1.54300e+00  -7.82850e-01
-1.52290e+00  -7.69150e-01
-1.54350e+00  -7.89500e-01
-1.56810e+00  -8.07100e-01
-1.55950e+00  -8.03300e-01
-1.57910e+00  -8.23250e-01
-1.53720e+00  -7.74900e-01
-1.57440e+00  -8.07700e-01
-1.54340e+00  -7.99500e-01
-1.58230e+00  -8.15700e-01
-1.54050e+00  -7.94300e-01
-1.56030e+00  -8.04200e-01
-1.56470e+00  -8.12400e-01
-1.54520e+00  -7.89400e-01
-1.54130e+00  -7.90100e-01
-1.56460e+00  -7.98150e-01
-1.55790e+00  -8.06800e-01
-1.57170e+00  -8.08750e-01
-1.55390e+00  -7.92250e-01
-1.54430e+00  -7.87350e-01
-1.55840e+00  -7.96450e-01
-1.54370e+00  -7.84400e-01
-1.55800e+00  -7.93900e-01
