Sweep,Energy density,Magnetization density
5000,-1.57100e+00,-8.08750e-01
5100,-1.55059e+00,-7.93823e-01
5200,-1.54720e+00,-7.88410e-01
5300,-1.54696e+00,-7.85769e-01
5400,-1.54549e+00,-7.80983e-01
5500,-1.54227e+00,-7.77888e-01
5600,-1.54166e+00,-7.77586e-01
5700,-1.54144e+00,-7.78516e-01
5800,-1.54110e+00,-7.78592e-01
5900,-1.54088e+00,-7.78007e-01
6000,-1.54060e+00,-7.76884e-01
6100,-1.54128e+00,-7.76538e-01
6200,-1.54103e+00,-7.76769e-01
6300,-1.54031e+00,-7.76012e-01
6400,-1.54031e+00,-7.75837e-01
6500,-1.54033e+00,-7.76040e-01
6600,-1.54105e+00,-7.76301e-01
6700,-1.54121e+00,-7.76740e-01
6800,-1.54131e+00,-7.77231e-01
6900,-1.54162e+00,-7.78191e-01
7000,-1.54249e+00,-7.79207e-01
7100,-1.54278e+00,-7.79689e-01
7200,-1.54319e+00,-7.80222e-01
7300,-1.54368e+00,-7.81083e-01
7400,-1.54400e+00,-7.81500e-01
7500,-1.54421e+00,-7.81891e-01
7600,-1.54445e+00,-7.82296e-01
7700,-1.54467e+00,-7.82536e-01
7800,-1.54432e+00,-7.81548e-01
7900,-1.54432e+00,-7.80990e-01
8000,-1.54451e+00,-7.81336e-01
8100,-1.54483e+00,-7.81734e-01
8200,-1.54487e+00,-7.81918e-01
8300,-1.54487e+00,-7.82146e-01
8400,-1.54464e+00,-7.81764e-01
8500,-1.54464e+00,-7.81907e-01
8600,-1.54454e+00,-7.81684e-01
8700,-1.54433e+00,-7.81448e-01
8800,-1.54471e+00,-7.81986e-01
8900,-1.54496e+00,-7.82360e-01
9000,-1.54506e+00,-7.82583e-01
9100,-1.54510e+00,-7.82729e-01
9200,-1.54519e+00,-7.82863e-01
9300,-1.54558e+00,-7.83393e-01
9400,-1.54573e+00,-7.83639e-01
9500,-1.54591e+00,-7.83984e-01
9600,-1.54590e+00,-7.83997e-01
9700,-1.54576e+00,-7.84009e-01
9800,-1.54585e+00,-7.84162e-01
9900,-1.54589e+00,-7.84250e-01
10000,-1.54589e+00,-7.84331e-01
10100,-1.54593e+00,-7.84402e-01
10200,-1.54585e+00,-7.84304e-01
10300,-1.54585e+00,-7.84378e-01
10400,-1.54591e+00,-7.84427e-01
10500,-1.54590e+00,-7.84408e-01
10600,-1.54577e+00,-7.84266e-01
10700,-1.54581e+00,-7.84399e-01
10800,-1.54590e+00,-7.84464e-01
10900,-1.54602e+00,-7.84706e-01
11000,-1.54606e+00,-7.84715e-01
11100,-1.54604e+00,-7.84690e-01
11200,-1.54598e+00,-7.84548e-01
11300,-1.54609e+00,-7.84713e-01
11400,-1.54622e+00,-7.84901e-01
11500,-1.54620e+00,-7.84860e-01
11600,-1.54618e+00,-7.84812e-01
11700,-1.54631e+00,-7.85081e-01
11800,-1.54623e+00,-7.84963e-01
11900,-1.54619e+00,-7.84936e-01
12000,-1.54624e+00,-7.85086e-01
12100,-1.54622e+00,-7.85140e-01
12200,-1.54643e+00,-7.85469e-01
12300,-1.54638e+00,-7.85506e-01
12400,-1.54628e+00,-7.85487e-01
12500,-1.54627e+00,-7.85550e-01
12600,-1.54622e+00,-7.85456e-01
12700,-1.54627e+00,-7.85505e-01
12800,-1.54627e+00,-7.85492e-01
12900,-1.54633e+00,-7.85624e-01
13000,-1.54640e+00,-7.85754e-01
13100,-1.54640e+00,-7.85707e-01
13200,-1.54627e+00,-7.85481e-01
13300,-1.54633e+00,-7.85586e-01
13400,-1.54629e+00,-7.85576e-01
13500,-1.54616e+00,-7.85379e-01
13600,-1.54616e+00,-7.85329e-01
13700,-1.54617e+00,-7.85398e-01
13800,-1.54616e+00,-7.85422e-01
13900,-1.54620e+00,-7.85492e-01
14000,-1.54627e+00,-7.85515e-01
14100,-1.54619e+00,-7.85443e-01
14200,-1.54612e+00,-7.85292e-01
14300,-1.54614e+00,-7.85311e-01
14400,-1.54619e+00,-7.85306e-01
14500,-1.54623e+00,-7.85407e-01
14600,-1.54629e+00,-7.85513e-01
14700,-1.54630e+00,-7.85547e-01
14800,-1.54624e+00,-7.85459e-01
14900,-1.54618e+00,-7.85391e-01
