Sweep,Energy density,Magnetization density
5000,-1.10100e+00,1.64500e-02
5100,-1.10888e+00,3.69773e-02
5200,-1.10613e+00,1.60571e-02
5300,-1.10817e+00,1.69065e-02
5400,-1.10860e+00,1.03939e-02
5500,-1.10779e+00,4.71078e-03
5600,-1.10866e+00,3.32787e-04
5700,-1.10858e+00,4.96972e-03
5800,-1.10705e+00,5.41481e-03
5900,-1.10689e+00,7.82582e-03
6000,-1.10703e+00,9.43168e-03
6100,-1.10688e+00,8.16396e-03
6200,-1.10618e+00,5.98884e-03
6300,-1.10610e+00,7.04618e-03
6400,-1.10572e+00,7.35106e-03
6500,-1.10599e+00,6.22848e-03
6600,-1.10666e+00,6.10683e-03
6700,-1.10653e+00,6.76871e-03
6800,-1.10659e+00,6.82127e-03
6900,-1.10614e+00,8.34555e-03
7000,-1.10647e+00,7.77114e-03
7100,-1.10653e+00,6.49194e-03
7200,-1.10641e+00,4.82195e-03
7300,-1.10660e+00,4.59827e-03
7400,-1.10687e+00,4.14855e-03
7500,-1.10682e+00,2.28327e-03
7600,-1.10691e+00,2.02375e-03
7700,-1.10693e+00,2.65775e-03
7800,-1.10665e+00,2.50391e-03
7900,-1.10674e+00,1.88282e-03
8000,-1.10687e+00,2.33322e-03
8100,-1.10668e+00,2.66415e-03
8200,-1.10668e+00,1.29626e-03
8300,-1.10650e+00,5.12991e-04
8400,-1.10645e+00,1.34897e-04
8500,-1.10630e+00,9.98148e-04
8600,-1.10614e+00,7.42798e-04
8700,-1.10591e+00,1.69313e-03
8800,-1.10583e+00,8.92257e-04
8900,-1.10583e+00,1.00550e-03
9000,-1.10576e+00,5.49127e-04
9100,-1.10567e+00,2.05839e-04
9200,-1.10565e+00,-1.32185e-04
9300,-1.10568e+00,6.93619e-04
9400,-1.10568e+00,1.10998e-03
9500,-1.10558e+00,1.24678e-03
9600,-1.10546e+00,1.47289e-03
9700,-1.10536e+00,1.98800e-03
9800,-1.10538e+00,1.97505e-03
9900,-1.10528e+00,1.99980e-03
10000,-1.10521e+00,2.40259e-03
10100,-1.10519e+00,2.42035e-03
10200,-1.10510e+00,2.28868e-03
10300,-1.10506e+00,2.55094e-03
10400,-1.10489e+00,2.43549e-03
10500,-1.10481e+00,2.05517e-03
10600,-1.10479e+00,2.25615e-03
10700,-1.10456e+00,1.66060e-03
10800,-1.10455e+00,1.26205e-03
10900,-1.10463e+00,1.02657e-03
11000,-1.10471e+00,1.20150e-03
11100,-1.10472e+00,1.09280e-03
11200,-1.10479e+00,8.08535e-04
11300,-1.10477e+00,6.83914e-04
11400,-1.10482e+00,6.62402e-04
11500,-1.10480e+00,1.13495e-03
11600,-1.10472e+00,9.17549e-04
11700,-1.10471e+00,9.70790e-04
11800,-1.10476e+00,9.07122e-04
11900,-1.10482e+00,1.53111e-03
12000,-1.10473e+00,1.51462e-03
12100,-1.10473e+00,9.98383e-04
12200,-1.10479e+00,1.04612e-03
12300,-1.10481e+00,1.10800e-03
12400,-1.10470e+00,1.47429e-03
12500,-1.10460e+00,1.36804e-03
12600,-1.10458e+00,1.70585e-03
12700,-1.10459e+00,1.59715e-03
12800,-1.10460e+00,1.37650e-03
12900,-1.10461e+00,1.15221e-03
13000,-1.10461e+00,1.94132e-03
13100,-1.10459e+00,2.30018e-03
13200,-1.10459e+00,2.57667e-03
13300,-1.10460e+00,2.43556e-03
13400,-1.10455e+00,2.50327e-03
13500,-1.10454e+00,2.90024e-03
13600,-1.10457e+00,2.88310e-03
13700,-1.10451e+00,2.91992e-03
13800,-1.10447e+00,2.86969e-03
13900,-1.10450e+00,3.18939e-03
14000,-1.10443e+00,3.13796e-03
14100,-1.10441e+00,3.32250e-03
14200,-1.10441e+00,3.22448e-03
14300,-1.10436e+00,3.11155e-03
14400,-1.10437e+00,3.18464e-03
14500,-1.10437e+00,3.41362e-03
14600,-1.10438e+00,3.72378e-03
14700,-1.10433e+00,3.73872e-03
14800,-1.10437e+00,3.39954e-03
14900,-1.10432e+00,2.87830e-03
