Sweep,Energy density,Magnetization density
5000,-1.11600e+00,-2.25500e-02
5100,-1.10895e+00,-3.82182e-02
5200,-1.10485e+00,-9.48810e-03
5300,-1.10645e+00,-6.67903e-03
5400,-1.10593e+00,-5.73171e-05
5500,-1.10511e+00,-3.61863e-03
5600,-1.10541e+00,-2.77869e-03
5700,-1.10530e+00,-1.94014e-03
5800,-1.10493e+00,-3.37778e-03
5900,-1.10470e+00,1.31648e-03
6000,-1.10520e+00,2.27376e-03
6100,-1.10622e+00,1.45000e-03
6200,-1.10589e+00,1.87562e-03
6300,-1.10612e+00,5.72519e-06
6400,-1.10556e+00,-1.78759e-03
6500,-1.10601e+00,-4.80596e-03
6600,-1.10628e+00,-5.38416e-03
6700,-1.10624e+00,-6.05409e-03
6800,-1.10611e+00,-8.46077e-03
6900,-1.10593e+00,-9.64450e-03
7000,-1.10621e+00,-8.14502e-03
7100,-1.10616e+00,-7.34242e-03
7200,-1.10625e+00,-7.25317e-03
7300,-1.10637e+00,-8.15541e-03
7400,-1.10618e+00,-8.97199e-03
7500,-1.10618e+00,-9.08964e-03
7600,-1.10622e+00,-1.01192e-02
7700,-1.10631e+00,-1.09710e-02
7800,-1.10615e+00,-1.21178e-02
7900,-1.10619e+00,-1.24653e-02
8000,-1.10623e+00,-1.27575e-02
8100,-1.10627e+00,-1.20487e-02
8200,-1.10626e+00,-1.24142e-02
8300,-1.10622e+00,-1.24180e-02
8400,-1.10641e+00,-1.23909e-02
8500,-1.10637e+00,-1.12654e-02
8600,-1.10635e+00,-1.02593e-02
8700,-1.10626e+00,-1.07894e-02
8800,-1.10621e+00,-1.01780e-02
8900,-1.10631e+00,-1.01006e-02
9000,-1.10639e+00,-1.10365e-02
9100,-1.10643e+00,-1.14888e-02
9200,-1.10642e+00,-1.16656e-02
9300,-1.10657e+00,-1.21761e-02
9400,-1.10663e+00,-1.18474e-02
9500,-1.10657e+00,-1.06047e-02
9600,-1.10653e+00,-1.15394e-02
9700,-1.10641e+00,-1.17408e-02
9800,-1.10639e+00,-1.05945e-02
9900,-1.10634e+00,-9.81141e-03
10000,-1.10618e+00,-9.40509e-03
10100,-1.10606e+00,-9.95616e-03
10200,-1.10601e+00,-9.52418e-03
10300,-1.10600e+00,-9.59077e-03
10400,-1.10593e+00,-9.79418e-03
10500,-1.10589e+00,-9.47877e-03
10600,-1.10592e+00,-9.87629e-03
10700,-1.10586e+00,-9.89536e-03
10800,-1.10598e+00,-9.21213e-03
10900,-1.10592e+00,-9.47022e-03
11000,-1.10585e+00,-9.66389e-03
11100,-1.10593e+00,-9.66162e-03
11200,-1.10604e+00,-9.60781e-03
11300,-1.10604e+00,-8.96315e-03
11400,-1.10611e+00,-9.13619e-03
11500,-1.10617e+00,-9.57611e-03
11600,-1.10614e+00,-9.68979e-03
11700,-1.10620e+00,-1.03244e-02
11800,-1.10621e+00,-1.03949e-02
11900,-1.10627e+00,-9.66476e-03
12000,-1.10620e+00,-9.46398e-03
12100,-1.10622e+00,-9.31111e-03
12200,-1.10625e+00,-9.19577e-03
12300,-1.10628e+00,-9.03940e-03
12400,-1.10619e+00,-8.34919e-03
12500,-1.10615e+00,-8.32390e-03
12600,-1.10617e+00,-7.77898e-03
12700,-1.10618e+00,-7.40700e-03
12800,-1.10624e+00,-7.02881e-03
12900,-1.10615e+00,-7.11315e-03
13000,-1.10619e+00,-7.00468e-03
13100,-1.10621e+00,-6.97707e-03
13200,-1.10628e+00,-6.33867e-03
13300,-1.10626e+00,-6.42154e-03
13400,-1.10622e+00,-6.59174e-03
13500,-1.10620e+00,-6.23937e-03
13600,-1.10618e+00,-5.97822e-03
13700,-1.10620e+00,-5.84747e-03
13800,-1.10613e+00,-5.74733e-03
13900,-1.10610e+00,-5.87817e-03
14000,-1.10608e+00,-5.61620e-03
14100,-1.10610e+00,-5.70247e-03
14200,-1.10607e+00,-5.53800e-03
14300,-1.10602e+00,-5.78061e-03
14400,-1.10611e+00,-5.69575e-03
14500,-1.10612e+00,-5.82503e-03
14600,-1.10613e+00,-6.06759e-03
14700,-1.10613e+00,-6.08110e-03
14800,-1.10620e+00,-5.77482e-03
14900,-1.10612e+00,-5.81024e-03
