T=2.50000e+00  B=0.00000e+00  Ns=40000  E_exact=-1.10608e+00  M_exact=0.00000e+00
     E           M        
--------------------------
-1.11600e+00  -2.25500e-02
-1.11320e+00  -5.24500e-02
-1.11720e+00  -2.75500e-02
-1.12110e+00  -4.16000e-02
-1.11100e+00  -7.44500e-02
-1.10440e+00  -7.51000e-02
-1.10030e+00  -4.40000e-02
-1.10120e+00  -4.59000e-02
-1.09330e+00  -1.98500e-02
-1.11990e+00  6.50000e-04
-1.10080e+00  -1.76000e-02
-1.10510e+00  -8.95000e-03
-1.09680e+00  6.65000e-03
-1.09930e+00  -3.95500e-02
-1.08330e+00  -1.61000e-02
-1.09720e+00  -1.50000e-03
-1.10870e+00  9.93500e-02
-1.09250e+00  7.35000e-02
-1.10730e+00  4.19000e-02
-1.11250e+00  5.20500e-02
-1.10070e+00  1.38000e-02
-1.12320e+00  -7.50000e-03
-1.11080e+00  -3.81500e-02
-1.10790e+00  -3.39000e-02
-1.09460e+00  -3.37000e-02
-1.09700e+00  -3.35500e-02
-1.10670e+00  4.31000e-02
-1.12610e+00  2.27500e-02
-1.10800e+00  -1.48000e-02
-1.11070e+00  4.97000e-02
-1.11300e+00  3.82500e-02
-1.12140e+00  6.14500e-02
-1.09670e+00  4.81500e-02
-1.09990e+00  3.92000e-02
-1.10010e+00  -1.75000e-02
-1.09970e+00  2.58500e-02
-1.09080e+00  -4.85000e-03
-1.11030e+00  2.12500e-02
-1.11300e+00  2.33500e-02
-1.11300e+00  1.36000e-02
-1.09850e+00  -5.80000e-03
-1.07680e+00  -6.05000e-03
-1.10970e+00  -3.95000e-02
-1.10320e+00  -4.19000e-02
-1.09890e+00  -2.33500e-02
-1.09380e+00  -2.56500e-02
-1.11250e+00  -4.09000e-02
-1.10220e+00  -1.84500e-02
-1.10940e+00  -2.22000e-02
-1.11220e+00  -1.70500e-02
-1.09890e+00  5.28500e-02
-1.09920e+00  1.80500e-02
-1.10540e+00  3.23000e-02
-1.11930e+00  3.64500e-02
-1.10630e+00  5.80500e-02
-1.10280e+00  2.30500e-02
-1.11670e+00  -1.00000e-04
-1.10110e+00  2.25000e-03
-1.10170e+00  -5.92000e-02
-1.11000e+00  -6.96500e-02
-1.10650e+00  -2.61500e-02
-1.08680e+00  9.40000e-03
-1.10550e+00  1.30500e-02
-1.10250e+00  5.60000e-03
-1.10380e+00  1.23000e-02
-1.11940e+00  4.30000e-03
-1.10650e+00  2.92500e-02
-1.10840e+00  2.29000e-02
-1.10410e+00  -3.05000e-02
-1.11020e+00  -2.64500e-02
-1.09940e+00  -8.10000e-03
-1.09200e+00  4.00000e-03
-1.11900e+00  -1.12500e-02
-1.10640e+00  -2.32000e-02
-1.11020e+00  -6.32000e-02
-1.09420e+00  -1.49000e-02
-1.07040e+00  1.45000e-02
-1.09340e+00  -2.41500e-02
-1.12300e+00  -2.61500e-02
-1.11600e+00  8.25000e-03
-1.09860e+00  2.50000e-04
-1.09290e+00  2.02500e-02
-1.08640e+00  4.27000e-02
-1.08910e+00  3.58000e-02
-1.11070e+00  2.32500e-02
-1.10800e+00  5.72500e-02
-1.10260e+00  7.54500e-02
-1.08660e+00  7.92500e-02
-1.13450e+00  2.79500e-02
-1.09700e+00  2.30000e-02
-1.11990e+00  8.50000e-03
-1.11290e+00  2.36500e-02
-1.12310e+00  1.19500e-02
-1.11050e+00  -2.06500e-02
-1.11950e+00  -2.65000e-03
-1.11010e+00  6.55000e-03
-1.10810e+00  -4.35000e-03
-1.10020e+00  -2.61000e-02
-1.10390e+00  2.46500e-02
-1.10570e+00  5.08500e-02
-1.10340e+00  4.59500e-02
-1.11900e+00  4.00500e-02
-1.12230e+00  4.65000e-02
-1.12420e+00  3.98500e-02
-1.11330e+00  3.34000e-02
-1.11310e+00  3.69000e-02
-1.11300e+00  1.18500e-02
-1.11220e+00  -5.45000e-02
-1.11850e+00  -8.77500e-02
-1.11920e+00  -8.41500e-02
-1.11040e+00  -5.08500e-02
-1.11720e+00  -2.37500e-02
-1.10630e+00  -2.55000e-02
-1.11910e+00  2.41000e-02
-1.10480e+00  -1.19000e-02
-1.09810e+00  8.50000e-04
-1.09730e+00  4.40500e-02
-1.10200e+00  -8.40000e-03
-1.09680e+00  2.36500e-02
-1.09270e+00  3.00500e-02
-1.08830e+00  1.28500e-02
-1.09850e+00  3.23000e-02
-1.10810e+00  1.93500e-02
-1.11290e+00  -1.05000e-03
-1.12560e+00  -3.25500e-02
-1.09030e+00  -2.63000e-02
-1.12070e+00  -3.49500e-02
-1.10030e+00  -8.50500e-02
-1.11650e+00  -7.32500e-02
-1.11090e+00  -4.64000e-02
-1.10480e+00  2.17000e-02
-1.10250e+00  2.31000e-02
-1.10940e+00  2.01000e-02
-1.09400e+00  -7.20000e-03
-1.08770e+00  1.10000e-02
-1.10710e+00  1.32500e-02
-1.09550e+00  -6.22000e-02
-1.08480e+00  -6.85000e-02
-1.10860e+00  -7.81000e-02
-1.09550e+00  -6.90500e-02
-1.09720e+00  -3.52000e-02
-1.09830e+00  -2.09000e-02
-1.12470e+00  -8.78000e-02
-1.10250e+00  -7.09000e-02
-1.11830e+00  -5.60500e-02
-1.10750e+00  -1.88000e-02
-1.10410e+00  -8.05000e-03
-1.12690e+00  -1.11000e-02
-1.11850e+00  -5.86500e-02
-1.12220e+00  -6.64000e-02
-1.10080e+00  -7.50000e-02
-1.12600e+00  -7.58500e-02
-1.11260e+00  -8.93500e-02
-1.09270e+00  -6.64000e-02
-1.09900e+00  -7.80000e-03
-1.10680e+00  9.75000e-03
-1.12440e+00  8.19000e-02
-1.09580e+00  4.07000e-02
-1.11540e+00  1.45000e-02
-1.10490e+00  -3.43000e-02
-1.12600e+00  -1.43000e-02
-1.11330e+00  -2.50000e-02
-1.10840e+00  -1.66500e-02
-1.09950e+00  2.28500e-02
-1.11290e+00  1.06000e-02
-1.09020e+00  3.66500e-02
-1.07920e+00  1.29000e-02
-1.10950e+00  -6.85000e-02
-1.11190e+00  -7.82000e-02
-1.11220e+00  -1.72000e-02
-1.11870e+00  -4.58500e-02
-1.10660e+00  -6.46500e-02
-1.10470e+00  -9.76500e-02
-1.09350e+00  -9.64500e-02
-1.11470e+00  -1.14750e-01
-1.11890e+00  -1.21500e-02
-1.09160e+00  -4.74000e-02
-1.10660e+00  -1.88500e-02
-1.10610e+00  -1.91000e-02
-1.09570e+00  -3.23000e-02
-1.10090e+00  7.15000e-03
-1.11540e+00  -5.50500e-02
-1.10610e+00  -2.71000e-02
-1.11340e+00  -1.47000e-02
-1.11160e+00  3.78000e-02
-1.10210e+00  -4.82500e-02
-1.09110e+00  -2.86000e-02
-1.07880e+00  -2.81500e-02
-1.10850e+00  -6.52000e-02
-1.09550e+00  -4.92000e-02
-1.10470e+00  -3.22500e-02
-1.10710e+00  3.08000e-02
-1.12620e+00  5.91000e-02
-1.11380e+00  5.30000e-03
-1.10970e+00  -3.32000e-02
-1.10630e+00  -5.00000e-05
-1.10580e+00  3.31500e-02
-1.11880e+00  3.03500e-02
-1.10150e+00  3.85000e-02
-1.11520e+00  3.22000e-02
-1.11030e+00  8.80000e-03
-1.10360e+00  3.19500e-02
-1.11590e+00  2.95000e-03
-1.11480e+00  2.52500e-02
-1.09720e+00  -1.23500e-02
-1.09140e+00  -2.50500e-02
-1.10230e+00  1.14000e-02
-1.11250e+00  8.40000e-03
-1.09250e+00  1.47500e-02
-1.10800e+00  1.00500e-02
-1.11340e+00  2.05500e-02
-1.10480e+00  -5.06000e-02
-1.12370e+00  -5.07000e-02
-1.11370e+00  -5.33500e-02
-1.09710e+00  -2.44000e-02
-1.12070e+00  -2.33000e-02
-1.09520e+00  -1.08500e-02
-1.10330e+00  2.10000e-02
-1.09600e+00  5.59000e-02
-1.11210e+00  4.80000e-02
-1.11520e+00  3.46000e-02
-1.10750e+00  5.02500e-02
-1.11050e+00  5.00000e-03
-1.11650e+00  -2.25000e-02
-1.09970e+00  -2.87000e-02
-1.11150e+00  -6.34500e-02
-1.10720e+00  -4.38500e-02
-1.10400e+00  -2.10000e-02
-1.10620e+00  -3.72500e-02
-1.11890e+00  -8.60000e-02
-1.10760e+00  -3.34500e-02
-1.10600e+00  -4.00500e-02
-1.10070e+00  -1.81000e-02
-1.10400e+00  1.61000e-02
-1.12470e+00  -7.35000e-03
-1.11030e+00  1.50500e-02
-1.09900e+00  -4.67500e-02
-1.09260e+00  -6.45500e-02
-1.10760e+00  -3.83000e-02
-1.09450e+00  -5.01500e-02
-1.07980e+00  -4.42500e-02
-1.09850e+00  -3.40500e-02
-1.11170e+00  -1.75000e-03
-1.10750e+00  2.16500e-02
-1.10970e+00  2.43000e-02
-1.12290e+00  -2.05000e-03
-1.09090e+00  -4.28000e-02
-1.11140e+00  2.25500e-02
-1.08830e+00  -1.76500e-02
