Sweep,Energy density,Magnetization density
5000,-1.67830e+00,-8.72800e-01
5100,-1.66841e+00,-8.72950e-01
5200,-1.66395e+00,-8.71526e-01
5300,-1.66309e+00,-8.70571e-01
5400,-1.66292e+00,-8.70337e-01
5500,-1.66157e+00,-8.68226e-01
5600,-1.66081e+00,-8.67577e-01
5700,-1.66043e+00,-8.67411e-01
5800,-1.66002e+00,-8.67454e-01
5900,-1.66016e+00,-8.67715e-01
6000,-1.65997e+00,-8.67578e-01
6100,-1.66049e+00,-8.67963e-01
6200,-1.66032e+00,-8.67802e-01
6300,-1.65987e+00,-8.67564e-01
6400,-1.65979e+00,-8.67416e-01
6500,-1.65993e+00,-8.67436e-01
6600,-1.66060e+00,-8.67664e-01
6700,-1.66032e+00,-8.67415e-01
6800,-1.66023e+00,-8.67209e-01
6900,-1.66045e+00,-8.67410e-01
7000,-1.66091e+00,-8.67701e-01
7100,-1.66084e+00,-8.67617e-01
7200,-1.66112e+00,-8.67751e-01
7300,-1.66126e+00,-8.67688e-01
7400,-1.66142e+00,-8.67885e-01
7500,-1.66147e+00,-8.67904e-01
7600,-1.66150e+00,-8.67869e-01
7700,-1.66128e+00,-8.67597e-01
7800,-1.66127e+00,-8.67645e-01
7900,-1.66135e+00,-8.67782e-01
8000,-1.66133e+00,-8.67772e-01
8100,-1.66149e+00,-8.67827e-01
8200,-1.66145e+00,-8.67825e-01
8300,-1.66146e+00,-8.67858e-01
8400,-1.66162e+00,-8.67973e-01
8500,-1.66146e+00,-8.67898e-01
8600,-1.66140e+00,-8.67858e-01
8700,-1.66121e+00,-8.67760e-01
8800,-1.66136e+00,-8.67877e-01
8900,-1.66151e+00,-8.67906e-01
9000,-1.66159e+00,-8.67904e-01
9100,-1.66165e+00,-8.67952e-01
9200,-1.66160e+00,-8.67910e-01
9300,-1.66177e+00,-8.68023e-01
9400,-1.66181e+00,-8.68021e-01
9500,-1.66184e+00,-8.68095e-01
9600,-1.66182e+00,-8.68093e-01
9700,-1.66170e+00,-8.68063e-01
9800,-1.66178e+00,-8.68112e-01
9900,-1.66177e+00,-8.68140e-01
10000,-1.66172e+00,-8.68115e-01
10100,-1.66179e+00,-8.68173e-01
10200,-1.66170e+00,-8.68137e-01
10300,-1.66170e+00,-8.68147e-01
10400,-1.66168e+00,-8.68125e-01
10500,-1.66169e+00,-8.68143e-01
10600,-1.66164e+00,-8.68120e-01
10700,-1.66168e+00,-8.68180e-01
10800,-1.66177e+00,-8.68268e-01
10900,-1.66177e+00,-8.68263e-01
11000,-1.66182e+00,-8.68284e-01
11100,-1.66182e+00,-8.68302e-01
11200,-1.66185e+00,-8.68335e-01
11300,-1.66184e+00,-8.68319e-01
11400,-1.66189e+00,-8.68359e-01
11500,-1.66195e+00,-8.68413e-01
11600,-1.66192e+00,-8.68400e-01
11700,-1.66200e+00,-8.68474e-01
11800,-1.66197e+00,-8.68441e-01
11900,-1.66193e+00,-8.68432e-01
12000,-1.66201e+00,-8.68483e-01
12100,-1.66205e+00,-8.68533e-01
12200,-1.66218e+00,-8.68627e-01
12300,-1.66214e+00,-8.68608e-01
12400,-1.66208e+00,-8.68618e-01
12500,-1.66202e+00,-8.68577e-01
12600,-1.66201e+00,-8.68574e-01
12700,-1.66200e+00,-8.68574e-01
12800,-1.66196e+00,-8.68553e-01
12900,-1.66196e+00,-8.68545e-01
13000,-1.66197e+00,-8.68574e-01
13100,-1.66201e+00,-8.68594e-01
13200,-1.66203e+00,-8.68608e-01
13300,-1.66207e+00,-8.68628e-01
13400,-1.66207e+00,-8.68642e-01
13500,-1.66206e+00,-8.68644e-01
13600,-1.66202e+00,-8.68612e-01
13700,-1.66201e+00,-8.68611e-01
13800,-1.66202e+00,-8.68622e-01
13900,-1.66207e+00,-8.68670e-01
14000,-1.66213e+00,-8.68729e-01
14100,-1.66215e+00,-8.68755e-01
14200,-1.66215e+00,-8.68744e-01
14300,-1.66215e+00,-8.68751e-01
14400,-1.66222e+00,-8.68798e-01
14500,-1.66222e+00,-8.68795e-01
14600,-1.66225e+00,-8.68790e-01
14700,-1.66222e+00,-8.68763e-01
14800,-1.66220e+00,-8.68760e-01
14900,-1.66219e+00,-8.68771e-01
