T=2.26900e+00  B=0.00000e+00  Ns=40000  E_exact=-1.41511e+00  M_exact=3.76889e-01
     E           M        
-1.38870e+00  -1.02200e-01
-1.38950e+00  -8.37000e-02
-1.38460e+00  -1.10200e-01
-1.39280e+00  -1.14200e-01
-1.39240e+00  -1.22400e-01
-1.35410e+00  -1.14400e-01
-1.37450e+00  -1.33150e-01
-1.38980e+00  -1.73800e-01
-1.35660e+00  -1.56400e-01
-1.38000e+00  -1.37200e-01
-1.37310e+00  -1.05800e-01
-1.41750e+00  -1.27450e-01
-1.37220e+00  -1.15500e-01
-1.38940e+00  -9.67500e-02
-1.38240e+00  -7.68500e-02
-1.39450e+00  -9.21500e-02
-1.41570e+00  -7.82500e-02
-1.38760e+00  -8.71500e-02
-1.40380e+00  -7.68000e-02
-1.41220e+00  -6.65500e-02
-1.41790e+00  -4.23500e-02
-1.41250e+00  -8.95500e-02
-1.40120e+00  -4.39500e-02
-1.40850e+00  -5.60500e-02
-1.41170e+00  -3.07500e-02
-1.41650e+00  7.70000e-03
-1.39410e+00  4.93000e-02
-1.37560e+00  1.13000e-02
-1.39200e+00  -1.51500e-02
-1.39880e+00  -2.90000e-02
-1.37940e+00  -6.12500e-02
-1.36820e+00  -4.99000e-02
-1.38620e+00  -5.57500e-02
-1.37710e+00  -7.74500e-02
-1.37290e+00  -8.77000e-02
-1.36700e+00  -8.44500e-02
-1.37880e+00  -5.41000e-02
-1.39390e+00  -2.36000e-02
-1.40280e+00  -3.15000e-03
-1.39230e+00  -2.49000e-02
-1.37930e+00  -3.30000e-02
-1.40700e+00  -3.94000e-02
-1.37950e+00  -6.48500e-02
-1.40620e+00  -4.66000e-02
-1.41150e+00  -5.17000e-02
-1.41750e+00  -7.46000e-02
-1.41460e+00  -4.36000e-02
-1.39140e+00  -8.59500e-02
-1.39940e+00  -9.80500e-02
-1.41540e+00  -1.00400e-01
-1.38420e+00  -8.35000e-02
-1.40520e+00  -1.12900e-01
-1.38990e+00  -1.17850e-01
-1.38010e+00  -9.59000e-02
-1.41340e+00  -9.97500e-02
-1.38750e+00  -7.57500e-02
-1.40300e+00  -3.72500e-02
-1.40110e+00  -6.20000e-03
-1.39340e+00  -2.01500e-02
