T=2.10000e+00  B=0.00000e+00  Ns=40000  E_exact=-1.66208e+00  M_exact=8.68748e-01
     E           M        
--------------------------
-1.67790e+00  -8.72500e-01
-1.67430e+00  -8.74450e-01
-1.67170e+00  -8.70200e-01
-1.66180e+00  -8.62850e-01
-1.65790e+00  -8.67600e-01
-1.66450e+00  -8.75300e-01
-1.66330e+00  -8.68300e-01
-1.65880e+00  -8.72350e-01
-1.66510e+00  -8.75850e-01
-1.67660e+00  -8.78050e-01
-1.67890e+00  -8.81200e-01
-1.66750e+00  -8.73450e-01
-1.66530e+00  -8.74500e-01
-1.66310e+00  -8.70550e-01
-1.65530e+00  -8.68300e-01
-1.66260e+00  -8.71750e-01
-1.65100e+00  -8.63550e-01
-1.64670e+00  -8.59300e-01
-1.64710e+00  -8.64000e-01
-1.66470e+00  -8.72950e-01
-1.66420e+00  -8.73950e-01
-1.66630e+00  -8.66050e-01
-1.65000e+00  -8.59800e-01
-1.66450e+00  -8.73200e-01
-1.64340e+00  -8.59650e-01
-1.66930e+00  -8.71200e-01
-1.66060e+00  -8.71000e-01
-1.66610e+00  -8.71350e-01
-1.66540e+00  -8.73800e-01
-1.66180e+00  -8.67050e-01
-1.66780e+00  -8.75400e-01
-1.68270e+00  -8.74850e-01
-1.64910e+00  -8.58800e-01
-1.65190e+00  -8.61700e-01
-1.68120e+00  -8.76850e-01
-1.65180e+00  -8.60700e-01
-1.65560e+00  -8.69300e-01
-1.66660e+00  -8.69250e-01
-1.65020e+00  -8.66200e-01
-1.67260e+00  -8.81200e-01
-1.66150e+00  -8.75700e-01
-1.64120e+00  -8.58500e-01
-1.67900e+00  -8.78000e-01
-1.66570e+00  -8.72200e-01
-1.64950e+00  -8.64400e-01
-1.66570e+00  -8.68050e-01
-1.65380e+00  -8.65850e-01
-1.65080e+00  -8.55550e-01
-1.65530e+00  -8.61100e-01
-1.66060e+00  -8.57300e-01
-1.65380e+00  -8.59550e-01
-1.65090e+00  -8.65450e-01
-1.65530e+00  -8.64750e-01
-1.67140e+00  -8.73050e-01
-1.66570e+00  -8.75400e-01
-1.67340e+00  -8.78300e-01
-1.66050e+00  -8.72850e-01
-1.66520e+00  -8.76350e-01
-1.64320e+00  -8.49150e-01
-1.65980e+00  -8.63150e-01
-1.64940e+00  -8.63050e-01
-1.67340e+00  -8.73250e-01
-1.65870e+00  -8.69600e-01
-1.66040e+00  -8.73250e-01
-1.66140e+00  -8.73600e-01
-1.67080e+00  -8.78250e-01
-1.65650e+00  -8.64850e-01
-1.65590e+00  -8.59150e-01
-1.64000e+00  -8.46450e-01
-1.64840e+00  -8.62650e-01
-1.65660e+00  -8.64550e-01
-1.66260e+00  -8.75350e-01
-1.66960e+00  -8.76250e-01
-1.66400e+00  -8.66900e-01
-1.66050e+00  -8.69600e-01
-1.64090e+00  -8.58750e-01
-1.63390e+00  -8.57550e-01
-1.66510e+00  -8.68950e-01
-1.66170e+00  -8.67550e-01
-1.65920e+00  -8.69950e-01
-1.65340e+00  -8.66650e-01
-1.66610e+00  -8.69200e-01
-1.66180e+00  -8.67150e-01
-1.65720e+00  -8.65000e-01
-1.65610e+00  -8.67250e-01
-1.67800e+00  -8.86350e-01
-1.67530e+00  -8.79500e-01
-1.62750e+00  -8.52750e-01
-1.66540e+00  -8.71850e-01
-1.66210e+00  -8.68800e-01
-1.66530e+00  -8.71250e-01
-1.67340e+00  -8.74100e-01
-1.66530e+00  -8.69900e-01
-1.65880e+00  -8.68850e-01
-1.66060e+00  -8.69800e-01
-1.64560e+00  -8.61750e-01
-1.65050e+00  -8.58550e-01
-1.65320e+00  -8.53000e-01
-1.65910e+00  -8.68950e-01
-1.65170e+00  -8.65100e-01
-1.66050e+00  -8.69550e-01
-1.67150e+00  -8.74150e-01
-1.67050e+00  -8.74900e-01
-1.66410e+00  -8.69050e-01
-1.65830e+00  -8.64800e-01
-1.66460e+00  -8.74100e-01
-1.66800e+00  -8.74800e-01
-1.67970e+00  -8.79700e-01
-1.64800e+00  -8.64850e-01
-1.66110e+00  -8.69800e-01
-1.67270e+00  -8.72950e-01
-1.65570e+00  -8.65700e-01
-1.66350e+00  -8.67600e-01
-1.66250e+00  -8.68050e-01
-1.67150e+00  -8.72150e-01
-1.67600e+00  -8.80950e-01
-1.64090e+00  -8.63600e-01
-1.67270e+00  -8.75750e-01
-1.66590e+00  -8.68700e-01
-1.65240e+00  -8.58300e-01
-1.62390e+00  -8.39600e-01
-1.65540e+00  -8.62900e-01
-1.64930e+00  -8.61450e-01
-1.64070e+00  -8.57850e-01
-1.67680e+00  -8.74850e-01
-1.66020e+00  -8.69000e-01
-1.65010e+00  -8.57300e-01
-1.64700e+00  -8.60200e-01
-1.65710e+00  -8.73600e-01
-1.66170e+00  -8.70850e-01
-1.64520e+00  -8.59050e-01
-1.67060e+00  -8.71200e-01
-1.67760e+00  -8.77150e-01
-1.65330e+00  -8.61600e-01
-1.64390e+00  -8.49350e-01
-1.65180e+00  -8.62450e-01
-1.67030e+00  -8.73850e-01
-1.64550e+00  -8.55000e-01
-1.65330e+00  -8.67550e-01
-1.65870e+00  -8.64700e-01
-1.66050e+00  -8.70600e-01
-1.65310e+00  -8.65750e-01
-1.67270e+00  -8.69200e-01
-1.65220e+00  -8.64700e-01
-1.66630e+00  -8.65850e-01
-1.67910e+00  -8.76500e-01
-1.65760e+00  -8.69950e-01
-1.66960e+00  -8.71400e-01
-1.66300e+00  -8.67100e-01
-1.65600e+00  -8.63800e-01
-1.65220e+00  -8.64450e-01
-1.67000e+00  -8.70100e-01
-1.67010e+00  -8.75100e-01
-1.66870e+00  -8.61950e-01
-1.65840e+00  -8.66250e-01
-1.65830e+00  -8.65350e-01
-1.68070e+00  -8.80150e-01
-1.68010e+00  -8.78750e-01
-1.67540e+00  -8.75250e-01
-1.66030e+00  -8.63200e-01
-1.68450e+00  -8.75750e-01
-1.66940e+00  -8.75200e-01
-1.65270e+00  -8.55900e-01
-1.63210e+00  -8.47900e-01
-1.66210e+00  -8.65150e-01
-1.64980e+00  -8.64900e-01
-1.64880e+00  -8.67350e-01
-1.65050e+00  -8.58050e-01
-1.65810e+00  -8.66900e-01
-1.65830e+00  -8.63450e-01
-1.68270e+00  -8.76600e-01
-1.66170e+00  -8.67150e-01
-1.65880e+00  -8.63900e-01
-1.64250e+00  -8.52000e-01
-1.67610e+00  -8.71750e-01
-1.65670e+00  -8.58900e-01
-1.65530e+00  -8.67900e-01
-1.66520e+00  -8.70250e-01
-1.65870e+00  -8.62400e-01
-1.64410e+00  -8.56150e-01
-1.66260e+00  -8.64950e-01
-1.66710e+00  -8.67350e-01
-1.65200e+00  -8.60400e-01
-1.65610e+00  -8.63500e-01
-1.67480e+00  -8.74150e-01
-1.68570e+00  -8.82700e-01
-1.65640e+00  -8.70150e-01
-1.66210e+00  -8.68200e-01
-1.64770e+00  -8.66700e-01
-1.66960e+00  -8.80100e-01
-1.67590e+00  -8.78950e-01
-1.65700e+00  -8.71400e-01
-1.69240e+00  -8.85350e-01
-1.66130e+00  -8.69500e-01
-1.66270e+00  -8.71550e-01
-1.68560e+00  -8.82900e-01
-1.66000e+00  -8.75500e-01
-1.67290e+00  -8.71950e-01
-1.65590e+00  -8.67700e-01
-1.68170e+00  -8.78200e-01
-1.66630e+00  -8.57850e-01
-1.65510e+00  -8.62650e-01
-1.65450e+00  -8.56800e-01
-1.68060e+00  -8.78750e-01
-1.66560e+00  -8.69950e-01
-1.65000e+00  -8.64450e-01
-1.65920e+00  -8.65550e-01
