Sweep,Energy density,Magnetization density
5000,-1.67790e+00,-8.72500e-01
5100,-1.66825e+00,-8.72605e-01
5200,-1.66373e+00,-8.70998e-01
5300,-1.66302e+00,-8.70305e-01
5400,-1.66285e+00,-8.70098e-01
5500,-1.66181e+00,-8.68912e-01
5600,-1.66142e+00,-8.68787e-01
5700,-1.66097e+00,-8.68473e-01
5800,-1.66049e+00,-8.68384e-01
5900,-1.66060e+00,-8.68552e-01
6000,-1.66033e+00,-8.68295e-01
6100,-1.66083e+00,-8.68620e-01
6200,-1.66064e+00,-8.68407e-01
6300,-1.66016e+00,-8.68124e-01
6400,-1.66004e+00,-8.67927e-01
6500,-1.66018e+00,-8.67924e-01
6600,-1.66083e+00,-8.68126e-01
6700,-1.66058e+00,-8.67893e-01
6800,-1.66044e+00,-8.67652e-01
6900,-1.66067e+00,-8.67839e-01
7000,-1.66111e+00,-8.68105e-01
7100,-1.66105e+00,-8.68020e-01
7200,-1.66132e+00,-8.68147e-01
7300,-1.66146e+00,-8.68086e-01
7400,-1.66161e+00,-8.68255e-01
7500,-1.66165e+00,-8.68265e-01
7600,-1.66168e+00,-8.68224e-01
7700,-1.66146e+00,-8.67942e-01
7800,-1.66144e+00,-8.67982e-01
7900,-1.66152e+00,-8.68121e-01
8000,-1.66151e+00,-8.68103e-01
8100,-1.66166e+00,-8.68152e-01
8200,-1.66162e+00,-8.68144e-01
8300,-1.66162e+00,-8.68176e-01
8400,-1.66178e+00,-8.68300e-01
8500,-1.66161e+00,-8.68225e-01
8600,-1.66155e+00,-8.68196e-01
8700,-1.66137e+00,-8.68114e-01
8800,-1.66150e+00,-8.68223e-01
8900,-1.66164e+00,-8.68260e-01
9000,-1.66173e+00,-8.68273e-01
9100,-1.66178e+00,-8.68326e-01
9200,-1.66174e+00,-8.68289e-01
9300,-1.66190e+00,-8.68397e-01
9400,-1.66196e+00,-8.68439e-01
9500,-1.66198e+00,-8.68498e-01
9600,-1.66196e+00,-8.68500e-01
9700,-1.66184e+00,-8.68466e-01
9800,-1.66192e+00,-8.68527e-01
9900,-1.66186e+00,-8.68457e-01
10000,-1.66180e+00,-8.68420e-01
10100,-1.66185e+00,-8.68463e-01
10200,-1.66176e+00,-8.68407e-01
10300,-1.66174e+00,-8.68398e-01
10400,-1.66173e+00,-8.68377e-01
10500,-1.66173e+00,-8.68397e-01
10600,-1.66167e+00,-8.68369e-01
10700,-1.66171e+00,-8.68436e-01
10800,-1.66178e+00,-8.68511e-01
10900,-1.66178e+00,-8.68503e-01
11000,-1.66184e+00,-8.68532e-01
11100,-1.66180e+00,-8.68495e-01
11200,-1.66183e+00,-8.68523e-01
11300,-1.66181e+00,-8.68509e-01
11400,-1.66185e+00,-8.68542e-01
11500,-1.66191e+00,-8.68601e-01
11600,-1.66188e+00,-8.68594e-01
11700,-1.66196e+00,-8.68671e-01
11800,-1.66194e+00,-8.68648e-01
11900,-1.66190e+00,-8.68642e-01
12000,-1.66198e+00,-8.68694e-01
12100,-1.66201e+00,-8.68740e-01
12200,-1.66214e+00,-8.68844e-01
12300,-1.66210e+00,-8.68826e-01
12400,-1.66204e+00,-8.68842e-01
12500,-1.66197e+00,-8.68789e-01
12600,-1.66198e+00,-8.68807e-01
12700,-1.66196e+00,-8.68811e-01
12800,-1.66192e+00,-8.68795e-01
12900,-1.66191e+00,-8.68788e-01
13000,-1.66192e+00,-8.68803e-01
13100,-1.66196e+00,-8.68826e-01
13200,-1.66198e+00,-8.68833e-01
13300,-1.66202e+00,-8.68855e-01
13400,-1.66199e+00,-8.68825e-01
13500,-1.66198e+00,-8.68822e-01
13600,-1.66195e+00,-8.68795e-01
13700,-1.66194e+00,-8.68793e-01
13800,-1.66195e+00,-8.68808e-01
13900,-1.66200e+00,-8.68860e-01
14000,-1.66205e+00,-8.68914e-01
14100,-1.66207e+00,-8.68943e-01
14200,-1.66207e+00,-8.68924e-01
14300,-1.66206e+00,-8.68930e-01
14400,-1.66214e+00,-8.68988e-01
14500,-1.66214e+00,-8.68995e-01
14600,-1.66217e+00,-8.68987e-01
14700,-1.66213e+00,-8.68957e-01
14800,-1.66211e+00,-8.68950e-01
14900,-1.66210e+00,-8.68965e-01
