T=2.20000e+00  B=0.00000e+00  Ns=40000  E_exact=-1.54649e+00  M_exact=7.84755e-01
     E           M        
--------------------------
-1.56940e+00  -8.02150e-01
-1.54550e+00  -7.87300e-01
-1.54090e+00  -7.75150e-01
-1.53390e+00  -7.74200e-01
-1.54170e+00  -7.88550e-01
-1.53990e+00  -7.81300e-01
-1.54040e+00  -7.77550e-01
-1.56190e+00  -8.05050e-01
-1.54300e+00  -7.94650e-01
-1.56020e+00  -7.86200e-01
-1.55220e+00  -7.84600e-01
-1.54820e+00  -7.73950e-01
-1.53550e+00  -7.69050e-01
-1.52750e+00  -7.58400e-01
-1.51200e+00  -7.47600e-01
-1.55690e+00  -7.77200e-01
-1.55200e+00  -7.81200e-01
-1.53570e+00  -7.74000e-01
-1.54780e+00  -7.93350e-01
-1.54610e+00  -7.85700e-01
-1.54790e+00  -7.97450e-01
-1.54880e+00  -7.82200e-01
-1.53680e+00  -7.83800e-01
-1.56220e+00  -8.06500e-01
-1.52080e+00  -7.54200e-01
-1.54740e+00  -7.75700e-01
-1.54030e+00  -7.71500e-01
-1.54610e+00  -7.74250e-01
-1.55820e+00  -7.86850e-01
-1.54660e+00  -7.78600e-01
-1.54880e+00  -7.85000e-01
-1.56160e+00  -7.99350e-01
-1.52500e+00  -7.68250e-01
-1.53350e+00  -7.72150e-01
-1.56380e+00  -7.90650e-01
-1.54570e+00  -7.79700e-01
-1.52920e+00  -7.74200e-01
-1.56650e+00  -7.92900e-01
-1.53040e+00  -7.89300e-01
-1.55360e+00  -7.87800e-01
-1.53620e+00  -7.85800e-01
-1.49970e+00  -7.58400e-01
-1.55000e+00  -7.90950e-01
-1.54430e+00  -7.85100e-01
-1.52990e+00  -7.65800e-01
-1.54040e+00  -7.77650e-01
-1.54240e+00  -7.83550e-01
-1.52780e+00  -7.65000e-01
-1.53370e+00  -7.78450e-01
-1.54210e+00  -7.71150e-01
-1.53060e+00  -7.73000e-01
-1.52270e+00  -7.54250e-01
-1.52230e+00  -7.67950e-01
-1.55090e+00  -7.80700e-01
-1.53260e+00  -7.65200e-01
-1.54310e+00  -7.81900e-01
-1.56050e+00  -8.04900e-01
-1.55270e+00  -7.93550e-01
-1.52760e+00  -7.62250e-01
-1.53870e+00  -7.57000e-01
-1.53910e+00  -7.89550e-01
-1.55500e+00  -7.96650e-01
-1.55130e+00  -8.00850e-01
-1.55990e+00  -8.13550e-01
-1.55960e+00  -8.09700e-01
-1.56130e+00  -8.11350e-01
-1.53990e+00  -7.81050e-01
-1.51400e+00  -7.50350e-01
-1.52370e+00  -7.65900e-01
-1.51930e+00  -7.61900e-01
-1.54150e+00  -7.78500e-01
-1.53590e+00  -7.80650e-01
-1.54180e+00  -7.92150e-01
-1.55370e+00  -7.97550e-01
-1.56100e+00  -8.05150e-01
-1.51500e+00  -7.61350e-01
-1.50600e+00  -7.57950e-01
-1.53520e+00  -7.67450e-01
-1.54340e+00  -7.74500e-01
-1.54610e+00  -7.78400e-01
-1.55360e+00  -7.72800e-01
-1.53580e+00  -7.81450e-01
-1.53620e+00  -7.79100e-01
-1.53210e+00  -7.66700e-01
-1.54150e+00  -7.64700e-01
-1.53920e+00  -7.83700e-01
-1.55280e+00  -7.79050e-01
-1.50970e+00  -7.59300e-01
-1.53920e+00  -7.71500e-01
-1.54700e+00  -7.83350e-01
-1.55270e+00  -7.85600e-01
-1.56190e+00  -7.89850e-01
-1.53650e+00  -7.72600e-01
-1.55420e+00  -7.98250e-01
-1.55370e+00  -7.95800e-01
-1.51450e+00  -7.63050e-01
-1.53530e+00  -7.74950e-01
-1.54420e+00  -7.75800e-01
-1.54430e+00  -7.74750e-01
-1.53790e+00  -7.84100e-01
-1.53770e+00  -7.87950e-01
-1.55690e+00  -7.91850e-01
-1.56060e+00  -8.00850e-01
-1.55570e+00  -7.96150e-01
-1.55160e+00  -7.93550e-01
-1.55250e+00  -8.05000e-01
-1.54930e+00  -7.98700e-01
-1.56710e+00  -8.03700e-01
-1.55060e+00  -7.99800e-01
-1.54030e+00  -7.83800e-01
-1.57120e+00  -8.04850e-01
-1.55130e+00  -8.07100e-01
-1.55310e+00  -7.97750e-01
-1.53820e+00  -7.83300e-01
-1.56080e+00  -7.99800e-01
-1.55290e+00  -7.93300e-01
-1.52870e+00  -7.75550e-01
-1.55430e+00  -7.87550e-01
-1.54420e+00  -7.78800e-01
-1.53650e+00  -7.80250e-01
-1.51250e+00  -7.65350e-01
-1.53810e+00  -7.71600e-01
-1.52300e+00  -7.56750e-01
-1.53080e+00  -7.56300e-01
-1.55050e+00  -7.64850e-01
-1.53860e+00  -7.61700e-01
-1.52710e+00  -7.59400e-01
-1.52770e+00  -7.59000e-01
-1.52590e+00  -7.75850e-01
-1.54640e+00  -7.87250e-01
-1.52510e+00  -7.68100e-01
-1.55460e+00  -7.78550e-01
-1.54880e+00  -7.86200e-01
-1.53780e+00  -7.72300e-01
-1.54150e+00  -7.74000e-01
-1.53450e+00  -7.76750e-01
-1.56470e+00  -8.02700e-01
-1.53590e+00  -7.81500e-01
-1.54220e+00  -7.84800e-01
-1.55530e+00  -7.94350e-01
-1.53590e+00  -7.75100e-01
-1.52730e+00  -7.71300e-01
-1.55750e+00  -7.99850e-01
-1.54710e+00  -7.97300e-01
-1.53690e+00  -7.84850e-01
-1.55690e+00  -7.85250e-01
-1.54300e+00  -7.81150e-01
-1.53930e+00  -7.74500e-01
-1.55690e+00  -7.78750e-01
-1.53320e+00  -7.57600e-01
-1.51820e+00  -7.30050e-01
-1.54760e+00  -7.41300e-01
-1.55020e+00  -7.62250e-01
-1.55240e+00  -7.72250e-01
-1.52610e+00  -7.50850e-01
-1.53740e+00  -7.52850e-01
-1.55380e+00  -7.77650e-01
-1.54550e+00  -7.70450e-01
-1.54660e+00  -7.72500e-01
-1.53790e+00  -7.67050e-01
-1.56880e+00  -7.79000e-01
-1.54540e+00  -7.85200e-01
-1.54060e+00  -7.87850e-01
-1.52030e+00  -7.71950e-01
-1.54860e+00  -7.85900e-01
-1.52260e+00  -7.69050e-01
-1.56070e+00  -8.02200e-01
-1.55330e+00  -8.00550e-01
-1.54460e+00  -8.05350e-01
-1.56540e+00  -8.06000e-01
-1.57320e+00  -8.09000e-01
-1.53560e+00  -7.83900e-01
-1.54270e+00  -7.78000e-01
-1.52000e+00  -7.58250e-01
-1.56590e+00  -7.98300e-01
-1.54950e+00  -7.81300e-01
-1.55150e+00  -7.96450e-01
-1.55010e+00  -7.98050e-01
-1.55710e+00  -8.04100e-01
-1.52430e+00  -7.74900e-01
-1.53640e+00  -7.77700e-01
-1.55290e+00  -7.92050e-01
-1.53700e+00  -7.87250e-01
-1.54430e+00  -7.91450e-01
-1.55030e+00  -7.89350e-01
-1.58190e+00  -8.24300e-01
-1.52990e+00  -7.83650e-01
-1.53950e+00  -7.89450e-01
-1.53730e+00  -7.93600e-01
-1.55240e+00  -8.03850e-01
-1.55010e+00  -7.91500e-01
-1.54480e+00  -7.80700e-01
-1.56650e+00  -7.89350e-01
-1.57000e+00  -8.12850e-01
-1.56430e+00  -8.12900e-01
-1.57840e+00  -8.18000e-01
-1.54330e+00  -8.01150e-01
-1.56750e+00  -7.98800e-01
-1.54000e+00  -7.88250e-01
-1.56980e+00  -8.06200e-01
-1.55070e+00  -7.77800e-01
-1.54190e+00  -7.81750e-01
-1.56210e+00  -7.88150e-01
-1.55830e+00  -7.87500e-01
-1.52700e+00  -7.60950e-01
-1.53740e+00  -7.82000e-01
-1.55670e+00  -8.00200e-01
-1.53360e+00  -7.63050e-01
-1.54490e+00  -7.85600e-01
-1.55550e+00  -7.91550e-01
-1.55620e+00  -7.96800e-01
-1.54750e+00  -7.86950e-01
-1.53350e+00  -7.87300e-01
-1.54640e+00  -7.89800e-01
-1.54950e+00  -7.94500e-01
-1.56980e+00  -8.05850e-01
-1.54670e+00  -7.94200e-01
-1.55900e+00  -7.98750e-01
-1.55630e+00  -7.90000e-01
-1.54970e+00  -7.75950e-01
-1.55980e+00  -7.85950e-01
-1.54800e+00  -7.92050e-01
-1.54060e+00  -7.95350e-01
-1.56950e+00  -8.12950e-01
-1.53980e+00  -7.97500e-01
-1.57420e+00  -8.14000e-01
-1.54030e+00  -7.88200e-01
-1.55650e+00  -8.05450e-01
-1.58210e+00  -8.13650e-01
-1.55620e+00  -8.02650e-01
-1.54520e+00  -7.81100e-01
-1.53830e+00  -7.79050e-01
-1.54440e+00  -7.82000e-01
-1.55140e+00  -7.93650e-01
-1.57050e+00  -8.04900e-01
-1.57210e+00  -7.99600e-01
-1.52440e+00  -7.68450e-01
-1.54640e+00  -7.70550e-01
-1.55530e+00  -7.94100e-01
-1.55140e+00  -7.91150e-01
-1.53350e+00  -7.77100e-01
-1.54440e+00  -7.89700e-01
-1.53540e+00  -7.65650e-01
-1.54770e+00  -7.74000e-01
-1.53900e+00  -7.83700e-01
-1.54890e+00  -7.87250e-01
-1.53720e+00  -7.79150e-01
-1.54080e+00  -7.86200e-01
-1.54110e+00  -7.85950e-01
-1.56260e+00  -7.98750e-01
-1.57160e+00  -7.97400e-01
-1.55800e+00  -7.92950e-01
-1.55540e+00  -8.02550e-01
-1.55350e+00  -8.06900e-01
-1.54740e+00  -7.81750e-01
-1.52810e+00  -7.76100e-01
-1.55960e+00  -7.89850e-01
-1.54830e+00  -7.87000e-01
-1.55370e+00  -7.90550e-01
-1.55450e+00  -8.02250e-01
-1.54790e+00  -7.91800e-01
-1.55300e+00  -8.06900e-01
-1.56430e+00  -8.09750e-01
-1.53710e+00  -7.80250e-01
-1.53950e+00  -7.81500e-01
-1.54250e+00  -7.84400e-01
-1.59220e+00  -8.13650e-01
-1.55240e+00  -7.98000e-01
-1.53960e+00  -7.85750e-01
-1.54250e+00  -7.67300e-01
-1.54380e+00  -7.73600e-01
-1.52090e+00  -7.37650e-01
-1.53770e+00  -7.61550e-01
-1.53970e+00  -7.50550e-01
-1.53320e+00  -7.44750e-01
-1.53490e+00  -7.41000e-01
-1.54150e+00  -7.58350e-01
-1.53000e+00  -7.56400e-01
-1.52820e+00  -7.55600e-01
-1.55020e+00  -7.71050e-01
-1.53330e+00  -7.67750e-01
-1.53460e+00  -7.59700e-01
-1.54580e+00  -7.65250e-01
-1.52080e+00  -7.50450e-01
-1.56930e+00  -7.82750e-01
-1.53380e+00  -7.54050e-01
-1.54360e+00  -7.52150e-01
-1.53710e+00  -7.58900e-01
-1.54380e+00  -7.60700e-01
-1.56000e+00  -7.85350e-01
-1.55010e+00  -7.76650e-01
-1.53990e+00  -7.81700e-01
-1.55130e+00  -7.84400e-01
-1.54720e+00  -7.84700e-01
-1.55330e+00  -7.86150e-01
-1.54890e+00  -7.82250e-01
-1.56070e+00  -8.10700e-01
-1.57380e+00  -8.22850e-01
-1.54770e+00  -7.95350e-01
-1.55170e+00  -7.82000e-01
-1.52940e+00  -7.88600e-01
-1.56040e+00  -8.07050e-01
-1.54790e+00  -8.03450e-01
-1.56500e+00  -8.07400e-01
-1.56650e+00  -8.00850e-01
-1.53690e+00  -7.68500e-01
-1.54580e+00  -7.78050e-01
-1.56100e+00  -8.06600e-01
-1.56260e+00  -8.00800e-01
-1.54670e+00  -7.86850e-01
-1.56780e+00  -8.08600e-01
-1.56200e+00  -7.91600e-01
-1.54090e+00  -7.85750e-01
-1.54460e+00  -7.92750e-01
-1.53020e+00  -7.83850e-01
-1.55620e+00  -8.07100e-01
-1.54710e+00  -7.95550e-01
-1.54790e+00  -7.93300e-01
-1.56660e+00  -8.00450e-01
-1.54520e+00  -7.85050e-01
-1.56020e+00  -8.00600e-01
-1.53620e+00  -7.90750e-01
-1.54080e+00  -7.95350e-01
-1.54660e+00  -7.98600e-01
-1.54860e+00  -7.96950e-01
-1.55770e+00  -8.03700e-01
-1.54280e+00  -7.89300e-01
-1.54970e+00  -7.92500e-01
-1.53060e+00  -7.61750e-01
-1.54750e+00  -7.80250e-01
-1.55300e+00  -7.81750e-01
-1.55660e+00  -7.81700e-01
-1.54390e+00  -7.81650e-01
-1.52630e+00  -7.71200e-01
-1.55020e+00  -7.70850e-01
-1.54700e+00  -7.79700e-01
-1.52900e+00  -7.65250e-01
-1.54020e+00  -7.74100e-01
-1.52210e+00  -7.57700e-01
-1.53920e+00  -7.69900e-01
-1.54240e+00  -7.79000e-01
-1.55980e+00  -7.97350e-01
-1.54320e+00  -7.83450e-01
