T=2.00000e+00  B=0.00000e+00  Ns=40000  E_exact=-1.74556e+00  M_exact=9.11319e-01
     E           M        
--------------------------
-1.72200e+00  -1.49500e-01
-1.72030e+00  -1.51500e-01
-1.70670e+00  -1.57000e-01
-1.71250e+00  -1.54000e-01
-1.70870e+00  -1.46750e-01
-1.71060e+00  -1.46650e-01
-1.70340e+00  -1.48350e-01
-1.70540e+00  -1.45100e-01
-1.70510e+00  -1.44600e-01
-1.71690e+00  -1.32400e-01
-1.71920e+00  -1.34450e-01
-1.70150e+00  -1.58550e-01
-1.71330e+00  -1.57600e-01
-1.71170e+00  -1.51150e-01
-1.70150e+00  -1.56800e-01
-1.70910e+00  -1.48450e-01
-1.69470e+00  -1.33950e-01
-1.69520e+00  -1.39900e-01
-1.71150e+00  -1.53000e-01
-1.71990e+00  -1.63950e-01
-1.72460e+00  -1.51200e-01
-1.70290e+00  -1.59950e-01
-1.69800e+00  -1.61750e-01
-1.71100e+00  -1.53850e-01
-1.69320e+00  -1.69500e-01
-1.71090e+00  -1.78000e-01
-1.71470e+00  -1.90050e-01
-1.72090e+00  -1.89300e-01
-1.70590e+00  -1.79100e-01
-1.70960e+00  -1.84600e-01
-1.70290e+00  -1.81350e-01
-1.72140e+00  -1.78900e-01
-1.70950e+00  -1.86950e-01
-1.70370e+00  -1.64450e-01
-1.71500e+00  -1.56250e-01
-1.69790e+00  -1.62300e-01
-1.70710e+00  -1.88300e-01
-1.70870e+00  -1.79550e-01
-1.69530e+00  -1.75850e-01
-1.70470e+00  -1.83700e-01
-1.70750e+00  -1.79500e-01
-1.68810e+00  -1.61800e-01
-1.71360e+00  -1.40900e-01
-1.69570e+00  -1.33300e-01
-1.70200e+00  -1.29600e-01
-1.70800e+00  -1.26150e-01
-1.71450e+00  -1.27250e-01
-1.71040e+00  -1.26850e-01
-1.71240e+00  -1.28750e-01
-1.70900e+00  -1.15600e-01
-1.69570e+00  -1.21350e-01
-1.69310e+00  -1.18000e-01
-1.70450e+00  -1.28200e-01
-1.71570e+00  -1.36900e-01
-1.71040e+00  -1.42350e-01
-1.71630e+00  -1.32300e-01
-1.70460e+00  -1.34550e-01
-1.71700e+00  -1.11200e-01
-1.68650e+00  -1.10000e-01
-1.71690e+00  -1.12750e-01
-1.70750e+00  -1.30550e-01
-1.72660e+00  -1.28550e-01
-1.71060e+00  -1.18650e-01
-1.70450e+00  -9.88500e-02
-1.71140e+00  -9.90000e-02
-1.70600e+00  -9.96500e-02
-1.70710e+00  -8.53000e-02
-1.70660e+00  -8.03000e-02
-1.69120e+00  -9.44000e-02
-1.69430e+00  -9.51000e-02
-1.70470e+00  -8.83000e-02
-1.71490e+00  -8.85500e-02
-1.71280e+00  -9.26500e-02
-1.70650e+00  -1.02100e-01
-1.70850e+00  -9.82500e-02
-1.70500e+00  -9.14000e-02
-1.69270e+00  -9.11500e-02
-1.69940e+00  -9.17500e-02
-1.71210e+00  -8.91500e-02
-1.70630e+00  -1.05300e-01
-1.70310e+00  -1.17300e-01
-1.71020e+00  -1.23400e-01
-1.70820e+00  -1.27050e-01
-1.70800e+00  -1.29750e-01
-1.70580e+00  -1.52200e-01
-1.71700e+00  -1.76850e-01
-1.71120e+00  -1.66550e-01
-1.67670e+00  -1.64550e-01
-1.70140e+00  -1.84450e-01
-1.70780e+00  -1.68750e-01
-1.70720e+00  -1.60150e-01
-1.71300e+00  -1.60050e-01
-1.70600e+00  -1.65900e-01
-1.71080e+00  -1.76000e-01
-1.70020e+00  -1.79950e-01
-1.70270e+00  -1.83600e-01
-1.69140e+00  -1.91050e-01
-1.71130e+00  -1.98150e-01
-1.71300e+00  -1.98350e-01
-1.70490e+00  -1.90100e-01
