Sweep,Energy density,Magnetization density
5000,-1.72200e+00,-1.49500e-01
5100,-1.71189e+00,-1.46391e-01
5200,-1.71018e+00,-1.48802e-01
5300,-1.70915e+00,-1.57171e-01
5400,-1.70865e+00,-1.61660e-01
5500,-1.70792e+00,-1.55678e-01
5600,-1.70781e+00,-1.50761e-01
5700,-1.70760e+00,-1.43444e-01
5800,-1.70742e+00,-1.37680e-01
5900,-1.70719e+00,-1.39624e-01
6000,-1.70705e+00,-1.44078e-01
6100,-1.70735e+00,-1.50056e-01
6200,-1.70716e+00,-1.55745e-01
6300,-1.70660e+00,-1.59282e-01
6400,-1.70670e+00,-1.60630e-01
6500,-1.70706e+00,-1.59167e-01
6600,-1.70774e+00,-1.55572e-01
6700,-1.70737e+00,-1.50889e-01
6800,-1.70744e+00,-1.45387e-01
6900,-1.70756e+00,-1.39498e-01
7000,-1.70781e+00,-1.32616e-01
7100,-1.70787e+00,-1.26259e-01
7200,-1.70815e+00,-1.21493e-01
7300,-1.70825e+00,-1.16977e-01
7400,-1.70830e+00,-1.12300e-01
7500,-1.70856e+00,-1.07929e-01
7600,-1.70868e+00,-1.05538e-01
7700,-1.70872e+00,-1.03272e-01
7800,-1.70878e+00,-9.99165e-02
7900,-1.70879e+00,-9.71550e-02
8000,-1.70875e+00,-9.60884e-02
8100,-1.70884e+00,-9.54876e-02
8200,-1.70881e+00,-9.41290e-02
8300,-1.70883e+00,-9.40826e-02
8400,-1.70891e+00,-9.54377e-02
8500,-1.70878e+00,-9.64249e-02
8600,-1.70864e+00,-9.69011e-02
8700,-1.70857e+00,-9.69143e-02
8800,-1.70873e+00,-9.73794e-02
8900,-1.70884e+00,-9.72781e-02
9000,-1.70878e+00,-9.72177e-02
9100,-1.70881e+00,-9.78602e-02
9200,-1.70873e+00,-9.87188e-02
9300,-1.70886e+00,-9.94298e-02
9400,-1.70885e+00,-9.98810e-02
9500,-1.70889e+00,-1.00142e-01
9600,-1.70886e+00,-1.00411e-01
9700,-1.70884e+00,-9.98891e-02
9800,-1.70885e+00,-1.00216e-01
9900,-1.70875e+00,-1.00876e-01
10000,-1.70872e+00,-1.01037e-01
10100,-1.70868e+00,-1.01271e-01
10200,-1.70863e+00,-1.01211e-01
10300,-1.70860e+00,-1.00958e-01
10400,-1.70863e+00,-1.01039e-01
10500,-1.70869e+00,-1.00716e-01
10600,-1.70872e+00,-1.00168e-01
10700,-1.70869e+00,-9.84131e-02
10800,-1.70877e+00,-9.60780e-02
10900,-1.70881e+00,-9.39092e-02
11000,-1.70892e+00,-9.22379e-02
11100,-1.70893e+00,-9.05286e-02
11200,-1.70895e+00,-8.89779e-02
11300,-1.70899e+00,-8.72655e-02
11400,-1.70900e+00,-8.58401e-02
11500,-1.70903e+00,-8.41027e-02
11600,-1.70898e+00,-8.18470e-02
11700,-1.70902e+00,-7.97424e-02
11800,-1.70900e+00,-7.76676e-02
11900,-1.70900e+00,-7.64082e-02
12000,-1.70907e+00,-7.55991e-02
12100,-1.70910e+00,-7.49081e-02
12200,-1.70919e+00,-7.43388e-02
12300,-1.70920e+00,-7.37110e-02
12400,-1.70915e+00,-7.29496e-02
12500,-1.70914e+00,-7.23678e-02
12600,-1.70915e+00,-7.21659e-02
12700,-1.70916e+00,-7.20265e-02
12800,-1.70912e+00,-7.22508e-02
12900,-1.70910e+00,-7.27508e-02
13000,-1.70910e+00,-7.26939e-02
13100,-1.70911e+00,-7.26295e-02
13200,-1.70911e+00,-7.19658e-02
13300,-1.70917e+00,-7.12439e-02
13400,-1.70920e+00,-7.01447e-02
13500,-1.70920e+00,-6.92778e-02
13600,-1.70920e+00,-6.84833e-02
13700,-1.70917e+00,-6.74703e-02
13800,-1.70917e+00,-6.63961e-02
13900,-1.70918e+00,-6.58149e-02
14000,-1.70918e+00,-6.53165e-02
14100,-1.70916e+00,-6.47049e-02
14200,-1.70915e+00,-6.34269e-02
14300,-1.70915e+00,-6.18861e-02
14400,-1.70917e+00,-6.06926e-02
14500,-1.70917e+00,-5.96546e-02
14600,-1.70918e+00,-5.83039e-02
14700,-1.70915e+00,-5.71039e-02
14800,-1.70913e+00,-5.56715e-02
14900,-1.70908e+00,-5.38840e-02
