Sweep,Energy density,Magnetization density
5000,-1.36050e+00,-1.83450e-01
5100,-1.34214e+00,-2.04873e-01
5200,-1.33838e+00,-2.19143e-01
5300,-1.34090e+00,-2.35197e-01
5400,-1.34349e+00,-2.51890e-01
5500,-1.34177e+00,-2.51808e-01
5600,-1.34265e+00,-2.61457e-01
5700,-1.34241e+00,-2.69817e-01
5800,-1.34154e+00,-2.63965e-01
5900,-1.34013e+00,-2.54443e-01
6000,-1.33880e+00,-2.38206e-01
6100,-1.34100e+00,-2.27219e-01
6200,-1.34129e+00,-2.20886e-01
6300,-1.34165e+00,-2.16826e-01
6400,-1.34253e+00,-2.18199e-01
6500,-1.34328e+00,-2.19054e-01
6600,-1.34331e+00,-2.12431e-01
6700,-1.34295e+00,-2.05079e-01
6800,-1.34245e+00,-1.95083e-01
6900,-1.34193e+00,-1.89238e-01
7000,-1.34191e+00,-1.84526e-01
7100,-1.34096e+00,-1.79259e-01
7200,-1.34135e+00,-1.80920e-01
7300,-1.34162e+00,-1.80653e-01
7400,-1.34151e+00,-1.75895e-01
7500,-1.34128e+00,-1.77337e-01
7600,-1.34114e+00,-1.80305e-01
7700,-1.34136e+00,-1.84420e-01
7800,-1.34103e+00,-1.88424e-01
7900,-1.34085e+00,-1.91027e-01
8000,-1.34060e+00,-1.92180e-01
8100,-1.34071e+00,-1.93654e-01
8200,-1.34119e+00,-1.96046e-01
8300,-1.34108e+00,-1.96162e-01
8400,-1.34087e+00,-1.95879e-01
8500,-1.34054e+00,-1.94895e-01
8600,-1.34048e+00,-1.94034e-01
8700,-1.34044e+00,-1.95306e-01
8800,-1.34090e+00,-1.99101e-01
8900,-1.34143e+00,-2.02184e-01
9000,-1.34149e+00,-2.05119e-01
9100,-1.34177e+00,-2.07703e-01
9200,-1.34160e+00,-2.06940e-01
9300,-1.34165e+00,-2.05021e-01
9400,-1.34175e+00,-2.03457e-01
9500,-1.34175e+00,-2.01935e-01
9600,-1.34148e+00,-1.97863e-01
9700,-1.34108e+00,-1.91828e-01
9800,-1.34126e+00,-1.86391e-01
9900,-1.34119e+00,-1.81150e-01
10000,-1.34116e+00,-1.75145e-01
10100,-1.34115e+00,-1.67552e-01
10200,-1.34094e+00,-1.58873e-01
10300,-1.34092e+00,-1.48842e-01
10400,-1.34132e+00,-1.37009e-01
10500,-1.34175e+00,-1.26269e-01
10600,-1.34186e+00,-1.17447e-01
10700,-1.34212e+00,-1.08762e-01
10800,-1.34229e+00,-1.00749e-01
10900,-1.34229e+00,-9.36308e-02
11000,-1.34240e+00,-8.67289e-02
11100,-1.34254e+00,-8.01714e-02
11200,-1.34266e+00,-7.41531e-02
11300,-1.34260e+00,-6.81502e-02
11400,-1.34251e+00,-6.24363e-02
11500,-1.34248e+00,-5.72463e-02
11600,-1.34238e+00,-5.40923e-02
11700,-1.34238e+00,-5.01042e-02
11800,-1.34240e+00,-4.55159e-02
11900,-1.34246e+00,-4.15389e-02
12000,-1.34248e+00,-3.82416e-02
12100,-1.34248e+00,-3.61290e-02
12200,-1.34250e+00,-3.52248e-02
12300,-1.34244e+00,-3.48666e-02
12400,-1.34246e+00,-3.52945e-02
12500,-1.34242e+00,-3.67753e-02
12600,-1.34229e+00,-3.85076e-02
12700,-1.34217e+00,-3.98606e-02
12800,-1.34213e+00,-4.08087e-02
12900,-1.34213e+00,-4.10488e-02
13000,-1.34219e+00,-4.13947e-02
13100,-1.34221e+00,-4.14383e-02
13200,-1.34227e+00,-4.20909e-02
13300,-1.34243e+00,-4.26682e-02
13400,-1.34250e+00,-4.35559e-02
13500,-1.34255e+00,-4.50132e-02
13600,-1.34262e+00,-4.75299e-02
13700,-1.34243e+00,-5.00758e-02
13800,-1.34246e+00,-5.21957e-02
13900,-1.34236e+00,-5.44651e-02
14000,-1.34244e+00,-5.75411e-02
14100,-1.34237e+00,-6.04362e-02
14200,-1.34240e+00,-6.30050e-02
14300,-1.34236e+00,-6.49287e-02
14400,-1.34253e+00,-6.63937e-02
14500,-1.34249e+00,-6.77478e-02
14600,-1.34245e+00,-6.76585e-02
14700,-1.34237e+00,-6.62142e-02
14800,-1.34239e+00,-6.53756e-02
14900,-1.34232e+00,-6.53206e-02
