T=2.30000e+00  B=0.00000e+00  Ns=40000  E_exact=-1.34287e+00  M_exact=0.00000e+00
     E           M        
--------------------------
-1.36050e+00  -1.83450e-01
-1.32850e+00  -1.39150e-01
-1.33010e+00  -1.72350e-01
-1.33600e+00  -1.74150e-01
-1.34870e+00  -1.91950e-01
-1.34600e+00  -2.24250e-01
-1.35460e+00  -2.58500e-01
-1.34390e+00  -2.31050e-01
-1.30790e+00  -2.26500e-01
-1.35460e+00  -2.25000e-01
-1.35270e+00  -2.27250e-01
-1.35660e+00  -2.50100e-01
-1.35210e+00  -2.25650e-01
-1.33120e+00  -2.18400e-01
-1.33050e+00  -2.38300e-01
-1.33020e+00  -2.43550e-01
-1.33900e+00  -2.48450e-01
-1.31410e+00  -2.15050e-01
-1.30940e+00  -2.07650e-01
-1.33050e+00  -2.35000e-01
-1.34880e+00  -2.66250e-01
-1.36920e+00  -2.80250e-01
-1.33350e+00  -2.12100e-01
-1.33310e+00  -2.45900e-01
-1.32490e+00  -2.55250e-01
-1.33510e+00  -2.63950e-01
-1.34280e+00  -2.59500e-01
-1.34980e+00  -2.79550e-01
-1.34900e+00  -2.72500e-01
-1.35850e+00  -2.87050e-01
-1.36610e+00  -3.33050e-01
-1.35590e+00  -3.09000e-01
-1.33660e+00  -3.06950e-01
-1.33710e+00  -3.08050e-01
-1.37520e+00  -3.21300e-01
-1.34900e+00  -2.92850e-01
-1.34370e+00  -2.87850e-01
-1.36640e+00  -3.18150e-01
-1.34850e+00  -3.12500e-01
-1.35530e+00  -2.75700e-01
-1.34740e+00  -3.04050e-01
-1.32980e+00  -2.39850e-01
-1.36510e+00  -2.47600e-01
-1.32960e+00  -2.42500e-01
-1.33470e+00  -2.42050e-01
-1.34080e+00  -2.40350e-01
-1.32590e+00  -2.37950e-01
-1.32810e+00  -2.57450e-01
-1.34140e+00  -2.78050e-01
-1.32940e+00  -2.65100e-01
-1.32260e+00  -2.63800e-01
-1.32030e+00  -2.09200e-01
-1.31900e+00  -2.84250e-01
-1.34450e+00  -2.90150e-01
-1.34720e+00  -3.21950e-01
-1.36600e+00  -3.26050e-01
-1.35330e+00  -3.23050e-01
-1.36920e+00  -3.33200e-01
-1.34840e+00  -3.32750e-01
-1.35730e+00  -3.26500e-01
-1.34580e+00  -3.59550e-01
-1.36170e+00  -3.58350e-01
-1.35850e+00  -3.81500e-01
-1.35700e+00  -3.57450e-01
-1.35300e+00  -3.35500e-01
-1.34220e+00  -3.22200e-01
-1.35050e+00  -3.24650e-01
-1.33160e+00  -3.22050e-01
-1.30360e+00  -2.76000e-01
-1.31540e+00  -2.79250e-01
-1.33650e+00  -2.51200e-01
-1.32640e+00  -2.12300e-01
-1.34170e+00  -2.16500e-01
-1.33600e+00  -2.06050e-01
-1.33180e+00  -2.00750e-01
-1.32720e+00  -2.14950e-01
-1.32720e+00  -2.57500e-01
-1.32480e+00  -2.23950e-01
-1.35780e+00  -2.33450e-01
-1.34160e+00  -2.30600e-01
-1.33880e+00  -2.28100e-01
-1.33680e+00  -2.50400e-01
-1.33160e+00  -1.91150e-01
-1.32240e+00  -1.84000e-01
-1.33090e+00  -1.89400e-01
-1.33290e+00  -1.93950e-01
-1.32960e+00  -1.79150e-01
-1.29200e+00  -1.53900e-01
-1.33620e+00  -1.43750e-01
-1.33460e+00  -1.50300e-01
-1.33990e+00  -1.37150e-01
-1.32840e+00  -1.24200e-01
-1.33900e+00  -1.04800e-01
-1.34100e+00  -7.44500e-02
-1.33260e+00  -6.70000e-02
-1.31630e+00  -6.42500e-02
-1.32000e+00  -1.02600e-01
-1.32160e+00  -1.06450e-01
-1.31520e+00  -1.15200e-01
-1.32150e+00  -7.12500e-02
-1.33190e+00  -7.43000e-02
-1.36470e+00  -5.41500e-02
-1.35970e+00  -7.58500e-02
-1.36180e+00  -1.08450e-01
-1.34780e+00  -1.24550e-01
-1.35940e+00  -1.45100e-01
-1.36440e+00  -1.48750e-01
-1.36650e+00  -1.22950e-01
-1.35910e+00  -9.44500e-02
