Sweep,Energy density,Magnetization density
5000,-1.21150e+00,2.75500e-02
5100,-1.19796e+00,-2.99818e-02
5200,-1.19676e+00,-2.19048e-02
5300,-1.19911e+00,-1.05016e-02
5400,-1.19919e+00,-4.41098e-03
5500,-1.19975e+00,-3.78725e-03
5600,-1.20108e+00,8.91311e-03
5700,-1.20163e+00,1.21613e-02
5800,-1.20171e+00,1.16630e-02
5900,-1.20217e+00,1.14989e-02
6000,-1.20289e+00,9.07079e-03
6100,-1.20415e+00,2.06712e-03
6200,-1.20363e+00,-5.09215e-03
6300,-1.20352e+00,-9.86718e-03
6400,-1.20377e+00,-1.48794e-02
6500,-1.20398e+00,-1.73305e-02
6600,-1.20427e+00,-1.89245e-02
6700,-1.20454e+00,-2.59988e-02
6800,-1.20414e+00,-2.61420e-02
6900,-1.20404e+00,-2.85115e-02
7000,-1.20393e+00,-3.02580e-02
7100,-1.20383e+00,-2.85486e-02
7200,-1.20386e+00,-2.87518e-02
7300,-1.20404e+00,-3.27569e-02
7400,-1.20393e+00,-3.55461e-02
7500,-1.20399e+00,-3.46743e-02
7600,-1.20397e+00,-3.27098e-02
7700,-1.20415e+00,-2.91657e-02
7800,-1.20413e+00,-2.59509e-02
7900,-1.20408e+00,-2.58478e-02
8000,-1.20423e+00,-2.51575e-02
8100,-1.20421e+00,-2.61113e-02
8200,-1.20408e+00,-2.86522e-02
8300,-1.20395e+00,-2.63298e-02
8400,-1.20390e+00,-2.30952e-02
8500,-1.20378e+00,-2.19618e-02
8600,-1.20360e+00,-2.06338e-02
8700,-1.20332e+00,-1.88881e-02
8800,-1.20340e+00,-1.63449e-02
8900,-1.20348e+00,-1.49128e-02
9000,-1.20353e+00,-1.54099e-02
9100,-1.20355e+00,-1.64625e-02
9200,-1.20343e+00,-1.54646e-02
9300,-1.20361e+00,-1.59925e-02
9400,-1.20386e+00,-1.81088e-02
9500,-1.20395e+00,-1.83506e-02
9600,-1.20400e+00,-1.72987e-02
9700,-1.20395e+00,-1.54101e-02
9800,-1.20384e+00,-1.34432e-02
9900,-1.20386e+00,-1.22904e-02
10000,-1.20388e+00,-1.20457e-02
10100,-1.20393e+00,-1.26441e-02
10200,-1.20382e+00,-1.35795e-02
10300,-1.20371e+00,-1.42851e-02
10400,-1.20373e+00,-1.46579e-02
10500,-1.20375e+00,-1.48948e-02
10600,-1.20374e+00,-1.42744e-02
10700,-1.20373e+00,-1.43736e-02
10800,-1.20368e+00,-1.49769e-02
10900,-1.20366e+00,-1.46424e-02
11000,-1.20373e+00,-1.46940e-02
11100,-1.20382e+00,-1.50196e-02
11200,-1.20392e+00,-1.39391e-02
11300,-1.20382e+00,-1.44117e-02
11400,-1.20377e+00,-1.48262e-02
11500,-1.20375e+00,-1.54283e-02
11600,-1.20373e+00,-1.58673e-02
11700,-1.20377e+00,-1.55905e-02
11800,-1.20380e+00,-1.47946e-02
11900,-1.20371e+00,-1.38761e-02
12000,-1.20382e+00,-1.29602e-02
12100,-1.20383e+00,-1.30087e-02
12200,-1.20398e+00,-1.21350e-02
12300,-1.20390e+00,-1.23481e-02
12400,-1.20392e+00,-1.27772e-02
12500,-1.20383e+00,-1.19071e-02
12600,-1.20381e+00,-1.12064e-02
12700,-1.20377e+00,-1.17504e-02
12800,-1.20375e+00,-1.21967e-02
12900,-1.20379e+00,-1.26339e-02
13000,-1.20383e+00,-1.33305e-02
13100,-1.20389e+00,-1.44411e-02
13200,-1.20392e+00,-1.59705e-02
13300,-1.20399e+00,-1.70635e-02
13400,-1.20398e+00,-1.78534e-02
13500,-1.20395e+00,-1.78542e-02
13600,-1.20396e+00,-1.71791e-02
13700,-1.20393e+00,-1.75447e-02
13800,-1.20396e+00,-1.73003e-02
13900,-1.20401e+00,-1.62162e-02
14000,-1.20402e+00,-1.59233e-02
14100,-1.20395e+00,-1.58184e-02
14200,-1.20399e+00,-1.54783e-02
14300,-1.20400e+00,-1.45375e-02
14400,-1.20406e+00,-1.36332e-02
14500,-1.20404e+00,-1.32751e-02
14600,-1.20404e+00,-1.42228e-02
14700,-1.20405e+00,-1.44731e-02
14800,-1.20406e+00,-1.38176e-02
14900,-1.20408e+00,-1.32709e-02
