T=2.40000e+00  B=0.00000e+00  Ns=40000  E_exact=-1.20397e+00  M_exact=0.00000e+00
     E           M        
--------------------------
-1.21150e+00  2.75500e-02
-1.20170e+00  2.57500e-02
-1.21090e+00  2.06500e-02
-1.20160e+00  -2.69000e-02
-1.17940e+00  -2.18500e-02
-1.18830e+00  -2.55000e-03
-1.20130e+00  -6.27000e-02
-1.18660e+00  -5.81500e-02
-1.18730e+00  -4.17000e-02
-1.20770e+00  -8.42500e-02
-1.20130e+00  -1.05650e-01
-1.22320e+00  -7.76500e-02
-1.19960e+00  -2.84000e-02
-1.18530e+00  -1.23500e-02
-1.17360e+00  3.46500e-02
-1.20180e+00  8.20000e-03
-1.18710e+00  1.60000e-02
-1.17370e+00  -8.85000e-03
-1.19220e+00  -2.06000e-02
-1.21320e+00  -4.43000e-02
-1.20460e+00  3.10000e-03
-1.20550e+00  -5.51500e-02
-1.18910e+00  -6.29500e-02
-1.21510e+00  -4.09500e-02
-1.19650e+00  -4.25000e-03
-1.19730e+00  -2.70000e-03
-1.20840e+00  4.56000e-02
-1.20690e+00  4.87000e-02
-1.21070e+00  5.97500e-02
-1.21200e+00  4.61500e-02
-1.19910e+00  1.00250e-01
-1.22250e+00  4.23500e-02
-1.19980e+00  6.33000e-02
-1.18130e+00  2.15000e-03
-1.20340e+00  -2.55500e-02
-1.17860e+00  -2.60000e-02
-1.20150e+00  -4.10000e-03
-1.20350e+00  -2.20000e-03
-1.19290e+00  5.90000e-03
-1.21160e+00  3.12500e-02
-1.19900e+00  5.76000e-02
-1.19060e+00  2.77000e-02
-1.21380e+00  6.36500e-02
-1.19350e+00  3.82500e-02
-1.19180e+00  1.80000e-02
-1.20830e+00  1.96000e-02
-1.21510e+00  8.00000e-03
-1.19940e+00  -2.79500e-02
-1.22050e+00  -7.27000e-02
-1.19140e+00  -6.78500e-02
-1.19610e+00  -1.90000e-02
-1.19810e+00  1.00000e-02
-1.19970e+00  4.28000e-02
-1.20630e+00  6.68000e-02
-1.22100e+00  7.22000e-02
-1.21520e+00  7.31000e-02
-1.20200e+00  6.04500e-02
-1.22720e+00  1.20200e-01
-1.20030e+00  1.07400e-01
-1.20410e+00  1.00550e-01
-1.20510e+00  8.33500e-02
-1.21430e+00  4.41500e-02
-1.21900e+00  1.33000e-02
-1.21850e+00  3.07000e-02
-1.20050e+00  3.60500e-02
-1.20180e+00  4.43000e-02
-1.20670e+00  3.62500e-02
-1.19880e+00  2.87000e-02
-1.18920e+00  3.52000e-02
-1.19370e+00  4.74000e-02
-1.20710e+00  3.70000e-03
-1.19630e+00  3.42000e-02
-1.19920e+00  -3.09000e-02
-1.17570e+00  -3.50000e-04
-1.19530e+00  -2.69000e-02
-1.20640e+00  -1.68000e-02
-1.20400e+00  1.05000e-03
-1.21250e+00  3.44000e-02
-1.22940e+00  6.25000e-03
-1.21020e+00  4.69500e-02
-1.19400e+00  3.33500e-02
-1.22460e+00  -3.00000e-04
-1.19820e+00  -8.50000e-04
-1.19960e+00  2.67500e-02
-1.20740e+00  -2.69500e-02
-1.19790e+00  -2.51000e-02
-1.21110e+00  2.75000e-03
-1.19530e+00  1.35500e-02
-1.20710e+00  2.11500e-02
-1.19040e+00  7.18500e-02
-1.22700e+00  1.88500e-02
-1.22170e+00  -5.10000e-03
-1.22490e+00  3.20500e-02
-1.21460e+00  3.99000e-02
-1.19810e+00  4.11000e-02
-1.20610e+00  3.08000e-02
-1.19710e+00  -1.27000e-02
-1.20220e+00  -4.67000e-02
-1.21430e+00  -6.85500e-02
-1.20090e+00  -5.32000e-02
-1.21470e+00  -8.78500e-02
-1.23870e+00  -7.14000e-02
-1.22370e+00  -8.92000e-02
-1.23600e+00  -1.09300e-01
-1.22150e+00  -9.33000e-02
-1.20890e+00  -6.37500e-02
-1.19300e+00  -3.56500e-02
-1.20430e+00  -1.42000e-02
-1.20990e+00  -4.74000e-02
-1.21420e+00  -6.52500e-02
-1.21850e+00  -9.72500e-02
-1.22050e+00  -8.98000e-02
-1.21640e+00  -1.24800e-01
-1.18540e+00  -1.09850e-01
-1.19220e+00  -1.06450e-01
-1.19930e+00  -7.15000e-02
-1.19570e+00  -7.02500e-02
-1.18380e+00  -8.25000e-02
-1.19900e+00  -5.58500e-02
-1.19840e+00  -4.15000e-02
-1.18740e+00  -9.31000e-02
-1.18500e+00  -7.65000e-02
-1.20690e+00  -8.25500e-02
-1.18510e+00  -8.11000e-02
-1.20890e+00  -6.32500e-02
-1.19740e+00  -6.41500e-02
-1.20860e+00  -6.29500e-02
-1.19290e+00  -6.20500e-02
-1.20740e+00  -9.21500e-02
-1.21030e+00  -6.07000e-02
-1.21960e+00  -3.10500e-02
-1.22020e+00  -2.77500e-02
-1.21830e+00  -4.94000e-02
-1.19920e+00  1.10000e-03
-1.19460e+00  -6.15000e-03
-1.19560e+00  -6.32000e-02
-1.20540e+00  -8.41500e-02
-1.20310e+00  -1.33550e-01
-1.20730e+00  -1.30500e-01
