T=2.26900e+00  B=0.00000e+00  Ns=40000  E_exact=-1.41511e+00  M_exact=3.76889e-01
     E           M        
--------------------------
-1.45120e+00  -6.19150e-01
-1.43580e+00  -6.32000e-01
-1.44260e+00  -6.50450e-01
-1.42930e+00  -6.40400e-01
-1.42060e+00  -6.25950e-01
-1.42590e+00  -6.19850e-01
-1.45340e+00  -6.45050e-01
-1.45040e+00  -6.68850e-01
-1.41610e+00  -6.50300e-01
-1.44620e+00  -6.40250e-01
-1.43740e+00  -6.41500e-01
-1.43910e+00  -6.68800e-01
-1.44220e+00  -6.68850e-01
-1.43820e+00  -6.44650e-01
-1.41500e+00  -6.49000e-01
-1.43620e+00  -6.32500e-01
-1.42870e+00  -5.96550e-01
-1.40690e+00  -5.76950e-01
-1.40950e+00  -6.07450e-01
-1.41630e+00  -5.87750e-01
-1.42340e+00  -5.91200e-01
-1.45280e+00  -6.26700e-01
-1.42220e+00  -6.07850e-01
-1.43460e+00  -6.26950e-01
-1.41750e+00  -5.90100e-01
-1.43130e+00  -5.84250e-01
-1.43470e+00  -6.02150e-01
-1.43430e+00  -5.94350e-01
-1.43560e+00  -5.92450e-01
-1.43920e+00  -6.22850e-01
-1.43880e+00  -6.33900e-01
-1.45440e+00  -6.27350e-01
-1.41070e+00  -6.11550e-01
-1.41610e+00  -6.22100e-01
-1.45000e+00  -6.57650e-01
-1.43040e+00  -6.49150e-01
-1.42530e+00  -6.47550e-01
-1.44820e+00  -6.61900e-01
-1.43100e+00  -6.75400e-01
-1.44050e+00  -6.64200e-01
-1.44810e+00  -6.85950e-01
-1.40400e+00  -6.54150e-01
-1.44890e+00  -6.84900e-01
-1.43340e+00  -6.58650e-01
-1.42670e+00  -6.48050e-01
-1.42330e+00  -6.39650e-01
-1.43230e+00  -6.42400e-01
-1.42520e+00  -6.21050e-01
-1.43150e+00  -6.38300e-01
-1.43080e+00  -6.52900e-01
-1.43100e+00  -6.40250e-01
-1.41280e+00  -6.12550e-01
-1.40980e+00  -6.04500e-01
-1.42890e+00  -5.85200e-01
-1.42170e+00  -5.87300e-01
-1.42240e+00  -5.68550e-01
-1.41920e+00  -5.82750e-01
-1.43320e+00  -5.99950e-01
-1.39920e+00  -5.76350e-01
-1.41570e+00  -5.68600e-01
-1.39450e+00  -5.61800e-01
-1.41810e+00  -5.86150e-01
-1.42960e+00  -6.06350e-01
-1.43260e+00  -6.09150e-01
-1.42390e+00  -6.14100e-01
-1.44280e+00  -6.41000e-01
-1.41580e+00  -6.16850e-01
-1.41000e+00  -5.94500e-01
-1.39350e+00  -5.71000e-01
-1.40630e+00  -5.73150e-01
-1.42160e+00  -6.00650e-01
-1.41340e+00  -5.82650e-01
-1.41890e+00  -5.86850e-01
-1.41620e+00  -5.71300e-01
-1.42220e+00  -5.90700e-01
-1.40620e+00  -5.79800e-01
-1.41080e+00  -5.82250e-01
-1.41500e+00  -5.82450e-01
-1.42760e+00  -5.80700e-01
-1.41670e+00  -5.41400e-01
-1.41200e+00  -5.35450e-01
-1.41720e+00  -5.22500e-01
-1.41980e+00  -5.37750e-01
-1.39750e+00  -5.15600e-01
-1.40950e+00  -5.20800e-01
-1.42300e+00  -5.39450e-01
-1.42570e+00  -5.31800e-01
-1.38910e+00  -4.95000e-01
-1.43320e+00  -5.36750e-01
-1.42960e+00  -5.18050e-01
-1.42760e+00  -5.18700e-01
-1.42150e+00  -5.67450e-01
-1.42060e+00  -5.59650e-01
-1.43360e+00  -5.96600e-01
-1.42270e+00  -5.63950e-01
-1.37350e+00  -5.33950e-01
-1.39340e+00  -5.46900e-01
-1.41040e+00  -5.70750e-01
-1.41580e+00  -6.18900e-01
-1.41910e+00  -6.23500e-01
-1.42190e+00  -6.36800e-01
-1.44550e+00  -6.62850e-01
-1.43450e+00  -6.46650e-01
-1.43990e+00  -6.37350e-01
-1.43270e+00  -6.21800e-01
-1.43830e+00  -6.35900e-01
-1.44190e+00  -6.53000e-01
-1.44350e+00  -6.35800e-01
-1.43730e+00  -6.43650e-01
-1.41870e+00  -6.30450e-01
-1.45950e+00  -6.77600e-01
-1.43980e+00  -6.90700e-01
-1.45290e+00  -6.93000e-01
-1.44370e+00  -6.80300e-01
-1.46330e+00  -6.89750e-01
-1.43450e+00  -6.67900e-01
-1.42310e+00  -6.43450e-01
-1.43850e+00  -6.40800e-01
-1.43860e+00  -6.54450e-01
-1.41290e+00  -6.31500e-01
-1.41200e+00  -6.32850e-01
-1.42190e+00  -6.34850e-01
-1.43020e+00  -6.57950e-01
-1.41080e+00  -6.20700e-01
-1.43090e+00  -6.37200e-01
-1.43010e+00  -6.47850e-01
-1.43070e+00  -6.25600e-01
-1.42400e+00  -6.15600e-01
-1.40520e+00  -5.79400e-01
-1.40260e+00  -5.87300e-01
-1.39460e+00  -5.90900e-01
-1.42870e+00  -6.10100e-01
-1.42960e+00  -6.18900e-01
-1.40940e+00  -5.77250e-01
-1.41140e+00  -5.61000e-01
-1.40040e+00  -5.81750e-01
-1.44680e+00  -6.31700e-01
-1.41610e+00  -6.11900e-01
-1.43780e+00  -6.40950e-01
-1.44250e+00  -6.29350e-01
-1.39960e+00  -5.67700e-01
-1.40690e+00  -5.61900e-01
-1.43410e+00  -5.55650e-01
-1.39330e+00  -5.39300e-01
-1.43300e+00  -5.60400e-01
-1.42890e+00  -5.66950e-01
-1.41680e+00  -5.36550e-01
-1.40190e+00  -5.31350e-01
-1.43410e+00  -5.64900e-01
-1.42490e+00  -5.53200e-01
-1.41180e+00  -5.26450e-01
-1.42350e+00  -5.04300e-01
-1.42650e+00  -5.32450e-01
-1.41580e+00  -5.36200e-01
-1.41790e+00  -5.22300e-01
-1.43370e+00  -5.53900e-01
-1.43750e+00  -5.62800e-01
-1.42850e+00  -5.41950e-01
-1.42830e+00  -5.39350e-01
-1.40450e+00  -5.39650e-01
-1.44180e+00  -5.79900e-01
-1.43030e+00  -5.78300e-01
-1.42170e+00  -5.87350e-01
-1.40440e+00  -5.56550e-01
-1.43400e+00  -5.81350e-01
-1.40790e+00  -5.59950e-01
-1.43430e+00  -6.14150e-01
-1.44310e+00  -6.33400e-01
-1.42570e+00  -6.34550e-01
-1.44710e+00  -6.17300e-01
-1.44650e+00  -5.94950e-01
-1.42160e+00  -5.81050e-01
-1.40700e+00  -5.51700e-01
-1.40010e+00  -5.55250e-01
-1.43220e+00  -5.88400e-01
-1.42320e+00  -5.93350e-01
-1.42260e+00  -6.06600e-01
-1.42030e+00  -5.87750e-01
-1.40450e+00  -5.44650e-01
-1.40030e+00  -5.42050e-01
-1.41380e+00  -5.18200e-01
-1.40120e+00  -4.99200e-01
-1.36760e+00  -4.87750e-01
-1.39810e+00  -4.91200e-01
-1.40050e+00  -4.78450e-01
-1.41570e+00  -5.22450e-01
-1.38570e+00  -5.04500e-01
-1.38740e+00  -4.78650e-01
-1.38720e+00  -4.88400e-01
-1.39330e+00  -5.23700e-01
-1.41400e+00  -5.20700e-01
-1.40040e+00  -5.18250e-01
-1.41860e+00  -5.26650e-01
-1.42390e+00  -5.53000e-01
-1.42800e+00  -5.65950e-01
-1.42870e+00  -5.92300e-01
-1.40460e+00  -5.92850e-01
-1.42320e+00  -5.86200e-01
-1.41390e+00  -5.81800e-01
-1.41520e+00  -5.73150e-01
-1.42070e+00  -5.71750e-01
-1.41380e+00  -6.26150e-01
-1.43560e+00  -6.43550e-01
-1.44420e+00  -6.44100e-01
-1.40060e+00  -6.07250e-01
-1.39780e+00  -6.05600e-01
-1.41080e+00  -5.82450e-01
-1.39520e+00  -5.47700e-01
-1.39630e+00  -5.42000e-01
-1.39880e+00  -5.51850e-01
-1.40020e+00  -5.88450e-01
-1.42780e+00  -5.83450e-01
-1.42390e+00  -6.02450e-01
-1.40900e+00  -5.94950e-01
-1.40820e+00  -6.06100e-01
-1.42750e+00  -6.02350e-01
-1.40320e+00  -5.84000e-01
-1.41750e+00  -5.82550e-01
-1.42440e+00  -5.69800e-01
-1.43140e+00  -5.86650e-01
-1.43190e+00  -5.93200e-01
-1.41630e+00  -5.80700e-01
-1.41860e+00  -5.70250e-01
-1.43120e+00  -5.88300e-01
-1.41360e+00  -5.63850e-01
-1.41850e+00  -5.29400e-01
-1.39920e+00  -5.48700e-01
-1.39820e+00  -5.07550e-01
-1.43720e+00  -5.44950e-01
-1.40570e+00  -5.41250e-01
-1.41120e+00  -5.42900e-01
-1.42420e+00  -5.62600e-01
-1.41900e+00  -5.60250e-01
-1.42310e+00  -5.68550e-01
-1.43870e+00  -5.82700e-01
-1.43850e+00  -5.99050e-01
-1.42070e+00  -6.08250e-01
-1.43430e+00  -5.91050e-01
-1.43740e+00  -6.04250e-01
-1.40810e+00  -5.78750e-01
-1.42220e+00  -5.90700e-01
-1.43290e+00  -5.91200e-01
-1.43270e+00  -5.81700e-01
-1.43160e+00  -5.87900e-01
-1.43160e+00  -5.94600e-01
-1.41740e+00  -5.73100e-01
-1.41150e+00  -5.93900e-01
-1.39820e+00  -5.68350e-01
-1.38910e+00  -5.54900e-01
-1.42680e+00  -5.78250e-01
-1.42350e+00  -5.82700e-01
-1.43490e+00  -5.98400e-01
-1.41310e+00  -5.45400e-01
-1.41670e+00  -5.43900e-01
-1.41540e+00  -5.62500e-01
-1.40750e+00  -5.69200e-01
-1.43740e+00  -5.93200e-01
-1.42530e+00  -5.87800e-01
-1.42760e+00  -6.05950e-01
-1.43760e+00  -6.25850e-01
-1.43300e+00  -6.09550e-01
-1.43130e+00  -6.20900e-01
-1.42930e+00  -5.86750e-01
-1.41760e+00  -5.79950e-01
-1.41480e+00  -6.01550e-01
-1.42110e+00  -5.81300e-01
