Sweep,Energy density,Magnetization density
5000,-1.75960e+00,-9.14250e-01
5100,-1.75118e+00,-9.14227e-01
5200,-1.74821e+00,-9.12786e-01
5300,-1.74671e+00,-9.12050e-01
5400,-1.74647e+00,-9.11873e-01
5500,-1.74604e+00,-9.11688e-01
5600,-1.74557e+00,-9.11413e-01
5700,-1.74499e+00,-9.11131e-01
5800,-1.74464e+00,-9.11064e-01
5900,-1.74443e+00,-9.11066e-01
6000,-1.74434e+00,-9.11033e-01
6100,-1.74471e+00,-9.11201e-01
6200,-1.74447e+00,-9.11071e-01
6300,-1.74404e+00,-9.10836e-01
6400,-1.74419e+00,-9.10823e-01
6500,-1.74448e+00,-9.10997e-01
6600,-1.74517e+00,-9.11315e-01
6700,-1.74488e+00,-9.11186e-01
6800,-1.74490e+00,-9.11185e-01
6900,-1.74498e+00,-9.11244e-01
7000,-1.74528e+00,-9.11410e-01
7100,-1.74534e+00,-9.11448e-01
7200,-1.74558e+00,-9.11529e-01
7300,-1.74566e+00,-9.11567e-01
7400,-1.74564e+00,-9.11589e-01
7500,-1.74574e+00,-9.11611e-01
7600,-1.74575e+00,-9.11595e-01
7700,-1.74570e+00,-9.11546e-01
7800,-1.74576e+00,-9.11594e-01
7900,-1.74576e+00,-9.11634e-01
8000,-1.74573e+00,-9.11629e-01
8100,-1.74585e+00,-9.11634e-01
8200,-1.74578e+00,-9.11624e-01
8300,-1.74574e+00,-9.11602e-01
8400,-1.74580e+00,-9.11650e-01
8500,-1.74569e+00,-9.11600e-01
8600,-1.74561e+00,-9.11528e-01
8700,-1.74555e+00,-9.11513e-01
8800,-1.74567e+00,-9.11570e-01
8900,-1.74571e+00,-9.11546e-01
9000,-1.74571e+00,-9.11550e-01
9100,-1.74571e+00,-9.11539e-01
9200,-1.74563e+00,-9.11491e-01
9300,-1.74574e+00,-9.11541e-01
9400,-1.74572e+00,-9.11531e-01
9500,-1.74570e+00,-9.11547e-01
9600,-1.74564e+00,-9.11491e-01
9700,-1.74556e+00,-9.11444e-01
9800,-1.74560e+00,-9.11463e-01
9900,-1.74550e+00,-9.11397e-01
10000,-1.74547e+00,-9.11377e-01
10100,-1.74548e+00,-9.11373e-01
10200,-1.74545e+00,-9.11374e-01
10300,-1.74540e+00,-9.11355e-01
10400,-1.74542e+00,-9.11366e-01
10500,-1.74546e+00,-9.11382e-01
10600,-1.74547e+00,-9.11397e-01
10700,-1.74543e+00,-9.11378e-01
10800,-1.74549e+00,-9.11406e-01
10900,-1.74551e+00,-9.11417e-01
11000,-1.74560e+00,-9.11464e-01
11100,-1.74562e+00,-9.11472e-01
11200,-1.74565e+00,-9.11499e-01
11300,-1.74567e+00,-9.11490e-01
11400,-1.74570e+00,-9.11507e-01
11500,-1.74576e+00,-9.11530e-01
11600,-1.74571e+00,-9.11504e-01
11700,-1.74576e+00,-9.11538e-01
11800,-1.74575e+00,-9.11525e-01
11900,-1.74573e+00,-9.11508e-01
12000,-1.74579e+00,-9.11532e-01
12100,-1.74580e+00,-9.11540e-01
12200,-1.74589e+00,-9.11596e-01
12300,-1.74589e+00,-9.11597e-01
12400,-1.74584e+00,-9.11591e-01
12500,-1.74580e+00,-9.11586e-01
12600,-1.74579e+00,-9.11579e-01
12700,-1.74577e+00,-9.11587e-01
12800,-1.74572e+00,-9.11552e-01
12900,-1.74573e+00,-9.11549e-01
13000,-1.74571e+00,-9.11536e-01
13100,-1.74573e+00,-9.11531e-01
13200,-1.74573e+00,-9.11521e-01
13300,-1.74576e+00,-9.11530e-01
13400,-1.74578e+00,-9.11542e-01
13500,-1.74576e+00,-9.11534e-01
13600,-1.74576e+00,-9.11536e-01
13700,-1.74574e+00,-9.11529e-01
13800,-1.74574e+00,-9.11545e-01
13900,-1.74575e+00,-9.11554e-01
14000,-1.74573e+00,-9.11553e-01
14100,-1.74572e+00,-9.11554e-01
14200,-1.74570e+00,-9.11547e-01
14300,-1.74571e+00,-9.11543e-01
14400,-1.74575e+00,-9.11541e-01
14500,-1.74574e+00,-9.11527e-01
14600,-1.74577e+00,-9.11537e-01
14700,-1.74576e+00,-9.11539e-01
14800,-1.74573e+00,-9.11517e-01
14900,-1.74569e+00,-9.11506e-01
